codigo_ipress,anio,mes,_archivo,_registro,variable,valor_original,motivo
00002418,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,29,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00002412,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,30,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030366,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,31,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00010831,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,99,CA_CAMAS,NE_0001,NO_NUMERICO_O_NO_FINITO
00007080,2024,8,data\raw\Capacidad\ConsultaA_2024_v22.csv,183,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005441,2024,8,data\raw\Capacidad\ConsultaA_2024_v22.csv,184,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00007115,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,234,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00012228,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,235,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005227,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,237,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005228,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,238,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00020157,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,240,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005229,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,241,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005218,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,257,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005219,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,258,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00017752,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,259,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00021227,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,260,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00032613,2024,9,data\raw\Capacidad\ConsultaA_2024_v22.csv,382,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005449,2024,9,data\raw\Capacidad\ConsultaA_2024_v22.csv,385,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005237,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,441,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005234,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,442,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005236,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,443,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00007151,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,444,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00026345,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,445,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005235,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,446,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030643,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,452,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030642,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,453,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030641,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,454,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030640,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,455,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030639,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,456,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00006884,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,457,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005413,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,459,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005412,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,499,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005408,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,500,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00002416,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,694,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00002420,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,695,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00006745,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,698,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030366,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,699,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00002416,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,701,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00002415,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,704,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005216,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,841,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00002416,2024,9,data\raw\Capacidad\ConsultaA_2024_v22.csv,875,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005441,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,921,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00027157,2024,7,data\raw\Capacidad\ConsultaA_2024_v22.csv,1392,CA_CAMAS,NE_0001,NO_NUMERICO_O_NO_FINITO
00005240,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,1694,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00002415,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,1710,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00002418,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,1712,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00002412,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,1713,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00002411,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,1714,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00002412,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,1715,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030366,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,1717,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00002411,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,1719,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00002416,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,1720,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00002420,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,1721,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00006745,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,1724,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00002415,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,1725,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00032701,2024,7,data\raw\Capacidad\ConsultaA_2024_v22.csv,1812,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005211,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,1843,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005215,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,1844,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005210,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,1845,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005212,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,1846,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00021224,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,1849,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00021226,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,1850,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00032702,2024,9,data\raw\Capacidad\ConsultaA_2024_v22.csv,1883,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030643,2024,9,data\raw\Capacidad\ConsultaA_2024_v22.csv,1884,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030642,2024,9,data\raw\Capacidad\ConsultaA_2024_v22.csv,1885,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030641,2024,9,data\raw\Capacidad\ConsultaA_2024_v22.csv,1886,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030640,2024,9,data\raw\Capacidad\ConsultaA_2024_v22.csv,1887,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030639,2024,9,data\raw\Capacidad\ConsultaA_2024_v22.csv,1888,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030638,2024,9,data\raw\Capacidad\ConsultaA_2024_v22.csv,1889,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00010765,2024,9,data\raw\Capacidad\ConsultaA_2024_v22.csv,1891,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00006884,2024,9,data\raw\Capacidad\ConsultaA_2024_v22.csv,1892,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005413,2024,9,data\raw\Capacidad\ConsultaA_2024_v22.csv,1894,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005412,2024,9,data\raw\Capacidad\ConsultaA_2024_v22.csv,1895,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005410,2024,9,data\raw\Capacidad\ConsultaA_2024_v22.csv,1897,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005409,2024,9,data\raw\Capacidad\ConsultaA_2024_v22.csv,1898,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005408,2024,9,data\raw\Capacidad\ConsultaA_2024_v22.csv,1899,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005398,2024,9,data\raw\Capacidad\ConsultaA_2024_v22.csv,1907,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00032702,2024,7,data\raw\Capacidad\ConsultaA_2024_v22.csv,2019,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030643,2024,7,data\raw\Capacidad\ConsultaA_2024_v22.csv,2020,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030642,2024,7,data\raw\Capacidad\ConsultaA_2024_v22.csv,2021,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030641,2024,7,data\raw\Capacidad\ConsultaA_2024_v22.csv,2022,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030640,2024,7,data\raw\Capacidad\ConsultaA_2024_v22.csv,2023,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005205,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,2130,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005199,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,2131,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005198,2024,11,data\raw\Capacidad\ConsultaA_2024_v22.csv,2132,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00025879,2024,1,data\raw\Capacidad\ConsultaA_2024_v22.csv,2698,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00021550,2024,1,data\raw\Capacidad\ConsultaA_2024_v22.csv,2699,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00011909,2024,1,data\raw\Capacidad\ConsultaA_2024_v22.csv,2701,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00007080,2024,1,data\raw\Capacidad\ConsultaA_2024_v22.csv,2704,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005441,2024,1,data\raw\Capacidad\ConsultaA_2024_v22.csv,2705,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00032932,2024,1,data\raw\Capacidad\ConsultaA_2024_v22.csv,3503,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00032613,2024,1,data\raw\Capacidad\ConsultaA_2024_v22.csv,3504,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005449,2024,1,data\raw\Capacidad\ConsultaA_2024_v22.csv,3512,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005448,2024,1,data\raw\Capacidad\ConsultaA_2024_v22.csv,3513,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005445,2024,1,data\raw\Capacidad\ConsultaA_2024_v22.csv,3516,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00007795,2024,1,data\raw\Capacidad\ConsultaA_2024_v22.csv,3727,CA_CAMAS,NE_0001,NO_NUMERICO_O_NO_FINITO
00010831,2024,3,data\raw\Capacidad\ConsultaA_2024_v22.csv,3790,CA_CAMAS,NE_0001,NO_NUMERICO_O_NO_FINITO
00027157,2024,1,data\raw\Capacidad\ConsultaA_2024_v22.csv,4499,CA_CAMAS,NE_0001,NO_NUMERICO_O_NO_FINITO
00014314,2024,1,data\raw\Capacidad\ConsultaA_2024_v22.csv,4500,CA_CAMAS,NE_0001,NO_NUMERICO_O_NO_FINITO
00005543,2024,1,data\raw\Capacidad\ConsultaA_2024_v22.csv,4507,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005432,2024,1,data\raw\Capacidad\ConsultaA_2024_v22.csv,4977,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00033094,2024,1,data\raw\Capacidad\ConsultaA_2024_v22.csv,5003,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030508,2024,1,data\raw\Capacidad\ConsultaA_2024_v22.csv,5220,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030507,2024,1,data\raw\Capacidad\ConsultaA_2024_v22.csv,5221,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00032932,2024,6,data\raw\Capacidad\ConsultaA_2024_v22.csv,6068,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00032613,2024,6,data\raw\Capacidad\ConsultaA_2024_v22.csv,6069,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00025879,2024,5,data\raw\Capacidad\ConsultaA_2024_v22.csv,6429,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00021550,2024,5,data\raw\Capacidad\ConsultaA_2024_v22.csv,6430,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00011909,2024,5,data\raw\Capacidad\ConsultaA_2024_v22.csv,6432,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00007080,2024,5,data\raw\Capacidad\ConsultaA_2024_v22.csv,6435,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005441,2024,5,data\raw\Capacidad\ConsultaA_2024_v22.csv,6436,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005432,2024,5,data\raw\Capacidad\ConsultaA_2024_v22.csv,6444,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00007106,2024,6,data\raw\Capacidad\ConsultaA_2024_v22.csv,7217,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005543,2024,3,data\raw\Capacidad\ConsultaA_2024_v22.csv,7471,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00032703,2024,5,data\raw\Capacidad\ConsultaA_2024_v22.csv,8088,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00032701,2024,5,data\raw\Capacidad\ConsultaA_2024_v22.csv,8089,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00032189,2024,5,data\raw\Capacidad\ConsultaA_2024_v22.csv,8090,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00031894,2024,5,data\raw\Capacidad\ConsultaA_2024_v22.csv,8091,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00019549,2024,5,data\raw\Capacidad\ConsultaA_2024_v22.csv,8092,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00007106,2024,5,data\raw\Capacidad\ConsultaA_2024_v22.csv,8093,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005525,2024,5,data\raw\Capacidad\ConsultaA_2024_v22.csv,8094,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005524,2024,5,data\raw\Capacidad\ConsultaA_2024_v22.csv,8095,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005521,2024,5,data\raw\Capacidad\ConsultaA_2024_v22.csv,8408,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005520,2024,5,data\raw\Capacidad\ConsultaA_2024_v22.csv,8409,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005519,2024,5,data\raw\Capacidad\ConsultaA_2024_v22.csv,8410,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00002416,2024,8,data\raw\Capacidad\ConsultaA_2024_v22.csv,8525,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00002412,2024,8,data\raw\Capacidad\ConsultaA_2024_v22.csv,8526,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00002420,2024,8,data\raw\Capacidad\ConsultaA_2024_v22.csv,8527,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00033094,2024,5,data\raw\Capacidad\ConsultaA_2024_v22.csv,9442,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00002416,2024,7,data\raw\Capacidad\ConsultaA_2024_v22.csv,10582,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00010831,2024,8,data\raw\Capacidad\ConsultaA_2024_v22.csv,10737,CA_CAMAS,NE_0001,NO_NUMERICO_O_NO_FINITO
00027157,2024,5,data\raw\Capacidad\ConsultaA_2024_v22.csv,10751,CA_CAMAS,NE_0001,NO_NUMERICO_O_NO_FINITO
00014314,2024,5,data\raw\Capacidad\ConsultaA_2024_v22.csv,10753,CA_CAMAS,NE_0001,NO_NUMERICO_O_NO_FINITO
00005543,2024,5,data\raw\Capacidad\ConsultaA_2024_v22.csv,10762,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00002412,2024,7,data\raw\Capacidad\ConsultaA_2024_v22.csv,10888,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00002420,2024,7,data\raw\Capacidad\ConsultaA_2024_v22.csv,10889,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00002418,2024,7,data\raw\Capacidad\ConsultaA_2024_v22.csv,10893,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00033094,2024,6,data\raw\Capacidad\ConsultaA_2024_v22.csv,11051,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030508,2024,6,data\raw\Capacidad\ConsultaA_2024_v22.csv,11913,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030507,2024,6,data\raw\Capacidad\ConsultaA_2024_v22.csv,11914,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030642,2024,4,data\raw\Capacidad\ConsultaA_2024_v22.csv,12422,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030639,2024,4,data\raw\Capacidad\ConsultaA_2024_v22.csv,12423,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030638,2024,4,data\raw\Capacidad\ConsultaA_2024_v22.csv,12424,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00010765,2024,4,data\raw\Capacidad\ConsultaA_2024_v22.csv,12425,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00032702,2024,3,data\raw\Capacidad\ConsultaA_2024_v22.csv,12466,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030643,2024,3,data\raw\Capacidad\ConsultaA_2024_v22.csv,12467,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030642,2024,3,data\raw\Capacidad\ConsultaA_2024_v22.csv,12468,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030641,2024,3,data\raw\Capacidad\ConsultaA_2024_v22.csv,12469,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030640,2024,3,data\raw\Capacidad\ConsultaA_2024_v22.csv,12470,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030639,2024,3,data\raw\Capacidad\ConsultaA_2024_v22.csv,12471,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00030638,2024,3,data\raw\Capacidad\ConsultaA_2024_v22.csv,12472,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00031084,2024,6,data\raw\Capacidad\ConsultaA_2024_v22.csv,12649,CA_CAMAS,NE_0001,NO_NUMERICO_O_NO_FINITO
00006884,2024,4,data\raw\Capacidad\ConsultaA_2024_v22.csv,12726,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005413,2024,4,data\raw\Capacidad\ConsultaA_2024_v22.csv,12728,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
00005412,2024,4,data\raw\Capacidad\ConsultaA_2024_v22.csv,12729,CA_CAMAS,NE_0002,NO_NUMERICO_O_NO_FINITO
