ambito,anio,variable,registros,nulos,porcentaje_nulo,no_numericos,ceros,negativos,minimo,p25,mediana,media,p75,maximo
todos,2015,CA_CAMAS,619,0,0.0,1,13,0,0,36.0,102.5,190.21844660194174,279.5,1507
todos,2015,CA_MEDICOS_TOTAL,619,0,0.0,1,2,0,0,41.0,111.0,182.4093851132686,229.0,1691
todos,2015,CA_MEDICOS_RESIDENTES,619,0,0.0,1,216,0,0,0.0,12.0,51.286407766990294,42.0,476
todos,2015,CA_ENFERMERAS,619,0,0.0,1,4,0,0,34.0,94.5,171.88187702265373,240.0,1667
todos,2016,CA_CAMAS,4689,0,0.0,5,859,0,0,5.0,24.0,74.62553373185311,80.0,1511
todos,2016,CA_MEDICOS_TOTAL,4689,0,0.0,5,142,0,0,7.0,28.0,79.4767292912041,101.25,1817
todos,2016,CA_MEDICOS_RESIDENTES,4689,0,0.0,5,3253,0,0,0.0,0.0,13.99060631938514,4.0,511
todos,2016,CA_ENFERMERAS,4689,0,0.0,5,158,0,0,5.0,20.0,70.5766438941076,79.0,3133
todos,2017,CA_CAMAS,9981,0,0.0,24,4121,0,0,0.0,5.0,40.61655117003114,37.0,1511
todos,2017,CA_MEDICOS_TOTAL,9981,0,0.0,24,1319,0,0,2.0,8.0,46.30983227879884,40.0,1863
todos,2017,CA_MEDICOS_RESIDENTES,9981,0,0.0,24,8235,0,0,0.0,0.0,6.757758360952094,0.0,517
todos,2017,CA_ENFERMERAS,9981,0,0.0,24,465,0,0,2.0,6.0,39.313347393793315,32.0,1694
todos,2018,CA_CAMAS,29951,0,0.0,223,21705,0,0,0.0,0.0,14.39198735199139,2.0,1505
todos,2018,CA_MEDICOS_TOTAL,29951,0,0.0,194,11130,0,0,0.0,1.0,18.192862183687872,5.0,1911
todos,2018,CA_MEDICOS_RESIDENTES,29951,0,0.0,196,27850,0,0,0.0,0.0,2.7253234750462108,0.0,1025
todos,2018,CA_ENFERMERAS,29951,0,0.0,194,4447,0,0,1.0,1.0,15.547232583929832,5.0,1805
todos,2019,CA_CAMAS,33958,12,0.03533777018670122,162,25227,0,0,0.0,0.0,13.297418896519062,1.0,1867
todos,2019,CA_MEDICOS_TOTAL,33958,12,0.03533777018670122,127,13021,0,0,0.0,1.0,17.065288743014282,4.0,1900
todos,2019,CA_MEDICOS_RESIDENTES,33958,12,0.03533777018670122,128,31832,0,0,0.0,0.0,2.4621503341415814,0.0,1073
todos,2019,CA_ENFERMERAS,33958,12,0.03533777018670122,127,5121,0,0,1.0,1.0,14.609243324758271,4.0,1783
todos,2020,CA_CAMAS,40835,0,0.0,719,31358,0,0,0.0,0.0,10.491100807657793,0.0,1496
todos,2020,CA_MEDICOS_TOTAL,40835,0,0.0,719,17150,0,0,0.0,1.0,13.3769568252069,2.0,2048
todos,2020,CA_MEDICOS_RESIDENTES,40835,0,0.0,719,38424,0,0,0.0,0.0,1.7631867584006382,0.0,1114
todos,2020,CA_ENFERMERAS,40835,0,0.0,719,7814,0,0,1.0,1.0,12.307009671951342,3.0,2017
todos,2021,CA_CAMAS,37758,0,0.0,331,28431,0,0,0.0,0.0,12.927485505116627,0.0,1475
todos,2021,CA_MEDICOS_TOTAL,37758,0,0.0,331,15390,0,0,0.0,1.0,18.61728164159564,3.0,99999
todos,2021,CA_MEDICOS_RESIDENTES,37758,0,0.0,331,35527,0,0,0.0,0.0,2.0661821679536163,0.0,1134
todos,2021,CA_ENFERMERAS,37758,0,0.0,331,7682,0,0,1.0,1.0,15.341918935527827,4.0,2289
todos,2022,CA_CAMAS,37923,0,0.0,554,28186,0,0,0.0,0.0,12.401054349862186,0.0,1523
todos,2022,CA_MEDICOS_TOTAL,37923,0,0.0,554,15007,0,0,0.0,1.0,16.38125183976023,3.0,2116
todos,2022,CA_MEDICOS_RESIDENTES,37923,0,0.0,554,35384,0,0,0.0,0.0,1.913752040461345,0.0,505
todos,2022,CA_ENFERMERAS,37923,0,0.0,554,7828,0,0,1.0,1.0,15.398967058256844,4.0,2194
todos,2023,CA_CAMAS,40860,0,0.0,575,30616,0,0,0.0,0.0,11.298696785403996,0.0,1545
todos,2023,CA_MEDICOS_TOTAL,40860,0,0.0,575,16207,0,0,0.0,1.0,16.27129204418518,4.0,6860
todos,2023,CA_MEDICOS_RESIDENTES,40860,0,0.0,575,38269,0,0,0.0,0.0,1.7736874767283108,0.0,413
todos,2023,CA_ENFERMERAS,40860,0,0.0,575,8414,0,0,1.0,1.0,14.914533945637334,4.0,2037
todos,2024,CA_CAMAS,48879,0,0.0,866,37418,0,0,0.0,0.0,9.805927561285484,0.0,1537
todos,2024,CA_MEDICOS_TOTAL,48879,0,0.0,865,19785,0,0,0.0,1.0,14.195942850002083,3.0,6199
todos,2024,CA_MEDICOS_RESIDENTES,48879,0,0.0,866,45884,0,0,0.0,0.0,1.5172973986212068,0.0,424
todos,2024,CA_ENFERMERAS,48879,0,0.0,865,9584,0,0,1.0,1.0,13.411380014162535,4.0,1855
todos,2025,CA_CAMAS,60586,0,0.0,1795,46282,0,0,0.0,0.0,15.78037454712456,0.0,220601
todos,2025,CA_MEDICOS_TOTAL,60586,0,0.0,1648,23634,0,0,0.0,1.0,12.731701109640639,3.0,1607
todos,2025,CA_MEDICOS_RESIDENTES,60586,0,0.0,1688,56595,0,0,0.0,0.0,1.3070732452714864,0.0,459
todos,2025,CA_ENFERMERAS,60586,0,0.0,1638,10777,0,0,1.0,1.0,12.117255886544072,4.0,1923
todos,2026,CA_CAMAS,41150,0,0.0,1790,31686,0,0,0.0,0.0,35.25947662601626,0.0,220601
todos,2026,CA_MEDICOS_TOTAL,41150,0,0.0,1656,14783,0,0,0.0,1.0,11.699751861042184,4.0,1622
todos,2026,CA_MEDICOS_RESIDENTES,41150,0,0.0,1689,38029,0,0,0.0,0.0,1.1836243379539293,0.0,459
todos,2026,CA_ENFERMERAS,41150,0,0.0,1637,6714,0,0,1.0,1.0,11.140333561106472,4.0,1954
vista_lima_publica_hospitalaria,2015,CA_CAMAS,200,0,0.0,0,0,0,11,95.0,253.0,332.05,412.75,1507
vista_lima_publica_hospitalaria,2015,CA_MEDICOS_TOTAL,200,0,0.0,0,0,0,5,95.0,209.0,297.325,305.0,1691
vista_lima_publica_hospitalaria,2015,CA_MEDICOS_RESIDENTES,200,0,0.0,0,16,0,0,30.0,42.0,113.57,171.5,476
vista_lima_publica_hospitalaria,2015,CA_ENFERMERAS,200,0,0.0,0,0,0,5,80.75,229.5,298.315,403.5,1667
vista_lima_publica_hospitalaria,2016,CA_CAMAS,526,0,0.0,0,5,0,0,57.0,148.0,262.8422053231939,373.0,1511
vista_lima_publica_hospitalaria,2016,CA_MEDICOS_TOTAL,526,0,0.0,0,0,0,4,92.0,130.0,243.7110266159696,292.25,1817
vista_lima_publica_hospitalaria,2016,CA_MEDICOS_RESIDENTES,526,0,0.0,0,70,0,0,3.0,34.0,79.72433460076046,108.75,511
vista_lima_publica_hospitalaria,2016,CA_ENFERMERAS,526,0,0.0,0,0,0,6,72.0,122.0,247.4125475285171,354.75,1696
vista_lima_publica_hospitalaria,2017,CA_CAMAS,559,0,0.0,0,12,0,0,54.0,112.0,248.82647584973165,361.5,1511
vista_lima_publica_hospitalaria,2017,CA_MEDICOS_TOTAL,559,0,0.0,0,1,0,0,89.5,132.0,248.04293381037567,302.0,1863
vista_lima_publica_hospitalaria,2017,CA_MEDICOS_RESIDENTES,559,0,0.0,0,96,0,0,4.0,28.0,75.28801431127013,91.0,517
vista_lima_publica_hospitalaria,2017,CA_ENFERMERAS,559,0,0.0,0,1,0,0,71.0,133.0,239.99284436493738,348.5,1694
vista_lima_publica_hospitalaria,2018,CA_CAMAS,559,0,0.0,0,12,0,0,53.5,126.0,245.15026833631484,366.0,1505
vista_lima_publica_hospitalaria,2018,CA_MEDICOS_TOTAL,559,0,0.0,0,0,0,3,97.5,142.0,253.5026833631485,295.5,1911
vista_lima_publica_hospitalaria,2018,CA_MEDICOS_RESIDENTES,559,0,0.0,0,93,0,0,5.0,32.0,75.44186046511628,92.0,517
vista_lima_publica_hospitalaria,2018,CA_ENFERMERAS,559,0,0.0,0,0,0,6,71.0,141.0,252.64400715563505,346.0,1805
vista_lima_publica_hospitalaria,2019,CA_CAMAS,566,0,0.0,0,12,0,0,56.0,146.5,250.2243816254417,366.0,1514
vista_lima_publica_hospitalaria,2019,CA_MEDICOS_TOTAL,566,0,0.0,0,1,0,0,106.0,153.0,258.5459363957597,320.0,1900
vista_lima_publica_hospitalaria,2019,CA_MEDICOS_RESIDENTES,566,0,0.0,0,99,0,0,5.0,34.0,73.51060070671377,88.75,498
vista_lima_publica_hospitalaria,2019,CA_ENFERMERAS,566,0,0.0,0,1,0,0,75.0,147.0,262.25618374558303,351.75,1783
