codigo_ipress,anio,mes,_archivo,_registro,variable,anterior,actual,diferencia
00000025,2016,9,data\raw\Capacidad\ConsultaA_Recurso_Salud_2016_v1.csv,147,CA_CAMAS,8.0,22.0,14.0
00000162,2024,5,data\raw\Capacidad\ConsultaA_2024_v22.csv,17966,CA_CAMAS,2.0,38.0,36.0
00000210,2021,5,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,17083,CA_CAMAS,62.0,127.0,65.0
00000308,2021,6,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,19629,CA_CAMAS,96.0,0.0,-96.0
00000308,2021,9,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,27791,CA_CAMAS,0.0,111.0,111.0
00000308,2021,10,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,30580,CA_CAMAS,111.0,0.0,-111.0
00000308,2021,11,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,31186,CA_CAMAS,0.0,111.0,111.0
00000326,2019,3,data\raw\Capacidad\ConsultaA_Recurso_Salud_2019_v7.csv,10873,CA_CAMAS,0.0,20.0,20.0
00000326,2019,4,data\raw\Capacidad\ConsultaA_Recurso_Salud_2019_v7.csv,10686,CA_CAMAS,20.0,0.0,-20.0
00000559,2024,10,data\raw\Capacidad\ConsultaA_2024_v22.csv,43339,CA_CAMAS,0.0,11.0,11.0
00000559,2025,9,data\raw\Capacidad\ConsultaA_2025_v22.csv,37806,CA_CAMAS,17.0,0.0,-17.0
00000671,2025,10,data\raw\Capacidad\ConsultaA_2025_v22.csv,48000,CA_CAMAS,20.0,0.0,-20.0
00000727,2021,3,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,5756,CA_CAMAS,0.0,10.0,10.0
00000756,2020,7,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,16361,CA_CAMAS,54.0,115.0,61.0
00000764,2019,5,data\raw\Capacidad\ConsultaA_Recurso_Salud_2019_v7.csv,19768,CA_CAMAS,18.0,0.0,-18.0
