codigo_ipress,anio,mes,CA_CAMAS,CA_MEDICOS_TOTAL,CA_MEDICOS_RESIDENTES,CA_ENFERMERAS,departamento,provincia,distrito,sector,categoria,nombre_ipress,_codigo_original,_anio_original,_mes_original,_clave_valida,_archivo,_registro,_huella_fila,original_ANHO,original_MES,original_UBIGEO,original_DEPARTAMENTO,original_PROVINCIA,original_DISTRITO,original_SECTOR,original_CATEGORIA,original_CO_IPRESS,original_RAZON_SOC,original_CA_CONSULTORIOS,original_CA_CONSULTORIOS_FN,original_CA_CAMAS,original_CA_MEDICOS_TOTAL,original_CA_MEDICOS_SERUM,original_CA_MEDICOS_RESIDENTES,original_CA_ENFERMERAS,original_CA_ODONTOLOGOS,original_CA_PSICOLOGOS,original_CA_NUTRICIONISTAS,original_CA_TECNOLOGOS_MEDICOS,original_CA_OBSTETRICES,original_CA_FARMACEUTICOS,original_CA_AUXILIARES,original_CA_OTROS_PROF,original_CA_AMBULANCIAS,filas_originales,versiones_distintas,estado_calidad_a,cantidad_eliminada
00004103,2024,9,0,0,0,1,HUANCAVELICA,TAYACAJA,ÑAHUIMPUQUIO,GOBIERNO REGIONAL,I-1,IMPERIAL,00004103,2024,09,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,883,12990808536277529586,2024,09,090710,HUANCAVELICA,TAYACAJA,ÑAHUIMPUQUIO,GOBIERNO REGIONAL,I-1,00004103,IMPERIAL,2,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,2,AMBIGUA,0
00004123,2024,9,0,0,0,1,HUANCAVELICA,TAYACAJA,SAN MARCOS DE ROCCHAC,GOBIERNO REGIONAL,I-1,SAN MARCOS DE ROCCHACC,00004123,2024,09,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,884,10295389108848177194,2024,09,090716,HUANCAVELICA,TAYACAJA,SAN MARCOS DE ROCCHAC,GOBIERNO REGIONAL,I-1,00004123,SAN MARCOS DE ROCCHACC,3,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,2,AMBIGUA,0
00004128,2024,9,10,3,0,5,HUANCAVELICA,TAYACAJA,SURCUBAMBA,GOBIERNO REGIONAL,I-4,SURCUBAMBA,00004128,2024,09,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,885,6173571560364863202,2024,09,090717,HUANCAVELICA,TAYACAJA,SURCUBAMBA,GOBIERNO REGIONAL,I-4,00004128,SURCUBAMBA,12,24,10,3,0,0,5,2,2,0,0,7,1,6,2,1,2,2,AMBIGUA,0
00007388,2024,9,0,0,0,0,HUANCAVELICA,TAYACAJA,ANDAYMARCA,GOBIERNO REGIONAL,I-1,QUINTAO,00007388,2024,09,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,887,13244670084885777551,2024,09,090720,HUANCAVELICA,TAYACAJA,ANDAYMARCA,GOBIERNO REGIONAL,I-1,00007388,QUINTAO,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,AMBIGUA,0
00007393,2024,9,0,0,0,1,HUANCAVELICA,TAYACAJA,PICHOS,GOBIERNO REGIONAL,I-1,PARIACC,00007393,2024,09,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,888,1959340538423418570,2024,09,090722,HUANCAVELICA,TAYACAJA,PICHOS,GOBIERNO REGIONAL,I-1,00007393,PARIACC,2,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,2,AMBIGUA,0
00004078,2024,9,0,0,0,1,HUANCAVELICA,TAYACAJA,ACRAQUIA,GOBIERNO REGIONAL,I-2,DOS DE MAYO,00004078,2024,09,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,891,7738874159306724252,2024,09,090703,HUANCAVELICA,TAYACAJA,ACRAQUIA,GOBIERNO REGIONAL,I-2,00004078,DOS DE MAYO,2,2,0,0,0,0,1,0,0,0,0,1,0,2,0,0,2,2,AMBIGUA,0
00004079,2024,9,0,0,0,1,HUANCAVELICA,TAYACAJA,ACRAQUIA,GOBIERNO REGIONAL,I-1,MATASENCCA,00004079,2024,09,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,892,6443790039935113387,2024,09,090703,HUANCAVELICA,TAYACAJA,ACRAQUIA,GOBIERNO REGIONAL,I-1,00004079,MATASENCCA,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,AMBIGUA,0
00004104,2024,9,0,2,0,5,HUANCAVELICA,TAYACAJA,PAZOS,GOBIERNO REGIONAL,I-3,CENTRO DE SALUD PAZOS,00004104,2024,09,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,893,12313077468688331757,2024,09,090711,HUANCAVELICA,TAYACAJA,PAZOS,GOBIERNO REGIONAL,I-3,00004104,CENTRO DE SALUD PAZOS,7,14,0,2,0,0,5,3,1,0,0,5,0,14,1,1,2,2,AMBIGUA,0
00004106,2024,9,0,0,0,1,HUANCAVELICA,TAYACAJA,PAZOS,GOBIERNO REGIONAL,I-1,SAN PEDRO DE MULLACA,00004106,2024,09,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,894,14714468369091279941,2024,09,090711,HUANCAVELICA,TAYACAJA,PAZOS,GOBIERNO REGIONAL,I-1,00004106,SAN PEDRO DE MULLACA,2,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,2,AMBIGUA,0
00007386,2024,9,0,0,0,1,HUANCAVELICA,TAYACAJA,ANDAYMARCA,GOBIERNO REGIONAL,I-1,HUARANHUAY,00007386,2024,09,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,899,5005364993776335209,2024,09,090720,HUANCAVELICA,TAYACAJA,ANDAYMARCA,GOBIERNO REGIONAL,I-1,00007386,HUARANHUAY,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,AMBIGUA,0
