anio,registros_d,registros_con_a,registros_sin_a,cobertura_pct,registros_a_ambiguos,registros_a_unicos,cobertura_univoca_pct,ipress_d,ipress_con_coincidencia,ipress_sin_coincidencia
2015,1828,1496,332,81.83807439824945,5,1491,81.56455142231948,36,36,0
2016,3755,3701,54,98.56191744340879,0,3701,98.56191744340879,45,45,0
2017,4249,4249,0,100.0,0,4249,100.0,46,46,0
2018,3923,3923,0,100.0,0,3923,100.0,44,44,0
2019,4088,4088,0,100.0,0,4088,100.0,46,46,0
2020,3930,3853,77,98.04071246819338,0,3853,98.04071246819338,47,47,0
2021,4011,4011,0,100.0,0,4011,100.0,46,46,0
2022,4427,4427,0,100.0,0,4427,100.0,48,48,0
2023,4588,4588,0,100.0,0,4588,100.0,48,48,0
2024,4631,4630,1,99.97840639170805,0,4630,99.97840639170805,47,47,0
2025,4593,4593,0,100.0,0,4593,100.0,68,68,0
2026,1295,1295,0,100.0,0,1295,100.0,66,66,0
GLOBAL,45318,44854,464,98.97612427732909,5,44849,98.96509113376584,74,74,0
