anio,filas_d,con_a_valida,sin_a_valida,cobertura_pct,con_clave_ambigua,con_cuatro_recursos_numericos
2015,1828,1491,337,81.56455142231948,5,1491
2016,3755,3701,54,98.56191744340879,0,3701
2017,4249,4249,0,100.0,0,4249
2018,3923,3923,0,100.0,0,3923
2019,4088,4088,0,100.0,0,4088
2020,3930,3853,77,98.04071246819338,0,3847
2021,4011,4011,0,100.0,0,4011
2022,4427,4427,0,100.0,0,4427
2023,4588,4588,0,100.0,0,4588
2024,4631,4630,1,99.97840639170805,0,4630
2025,4593,4593,0,100.0,0,4593
2026,1295,1295,0,100.0,0,1295
GLOBAL,45318,44849,469,98.96509113376584,5,44843
