codigo_ipress,anio,mes,servicio_hospitalizacion,total_camas,CA_CAMAS,diferencia,diferencia_absoluta,diferencia_porcentual,estado_match,_archivo,_registro
00006207,2015,1,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL,120,,,,,sin_match,,
00006207,2015,1,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA DE CABEZA Y CUELLO / MÁXILO FACIAL,15,,,,,sin_match,,
00006207,2015,1,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PLÁSTICA/RECONSTRUCTIVA/ REPARADORA,23,,,,,sin_match,,
00006207,2015,1,HOSPITALIZACIÓN QUIRÚRGICA NEUROCIRUGÍA,15,,,,,sin_match,,
00006207,2015,1,HOSPITALIZACIÓN QUIRÚRGICA TRAUMATOLOGÍA Y ORTOPEDIA,30,,,,,sin_match,,
00006207,2015,1,HOSPITALIZACIÓN QUIRÚRGICA UROLOGÍA,32,,,,,sin_match,,
00006207,2015,1,HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA,53,,,,,sin_match,,
00006207,2015,1,HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA,79,,,,,sin_match,,
00006207,2015,1,HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA GINECOLOGIA ONCOLOGICA,8,,,,,sin_match,,
00006207,2015,1,HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL,6,,,,,sin_match,,
00006207,2015,1,HOSPITALIZACIÓN DE MEDICINA MEDICINA INTERNA,253,,,,,sin_match,,
00006207,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRÍA GENERAL,38,,,,,sin_match,,
00006207,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEONATOLOGÍA,76,,,,,sin_match,,
00006207,2015,1,UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS GENERALES (UCI),10,,,,,sin_match,,
00006207,2015,1,UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTERMEDIOS GENERAL (UCIN),10,,,,,sin_match,,
00006209,2015,1,HOSPITALIZACIÓN QUIRÚRGICA NEUROCIRUGÍA,36,196.0,-160.0,160.0,-81.63265306122449,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,136.0
00006209,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEUROLOGÍA PEDIÁTRICA,20,196.0,-176.0,176.0,-89.79591836734694,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,136.0
00006209,2015,1,HOSPITALIZACIÓN-HOSPITALIZACIÓN DE MEDICINA-GERIATRIA,20,196.0,-176.0,176.0,-89.79591836734694,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,136.0
00006209,2015,1,HOSPITALIZACIÓN DE MEDICINA NEUROLOGIA NEURODEGENERATIVAS,44,196.0,-152.0,152.0,-77.55102040816327,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,136.0
00006209,2015,1,HOSPITALIZACIÓN DE MEDICINA NEUROLOGIA NEUROVASCULARES Y METABOLICAS,12,196.0,-184.0,184.0,-93.87755102040816,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,136.0
00006209,2015,1,HOSPITALIZACIÓN DE MEDICINA NEUROLOGIA ENFERMEDADES INFECCIOSAS/TRANSMISIBLES DEL SISTEMA NERVIOSO,28,196.0,-168.0,168.0,-85.71428571428571,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,136.0
00006209,2015,1,HOSPITALIZACIÓN DE MEDICINA NEUROLOGIA EPILEPSIA/EPILEPTOLOGIA,17,196.0,-179.0,179.0,-91.3265306122449,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,136.0
00006209,2015,1,UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) NEUROLÓGICA,5,196.0,-191.0,191.0,-97.44897959183673,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,136.0
00008353,2015,1,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL,12,68.0,-56.0,56.0,-82.35294117647058,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,260.0
00008353,2015,1,HOSPITALIZACIÓN QUIRÚRGICA TRAUMATOLOGÍA Y ORTOPEDIA,12,68.0,-56.0,56.0,-82.35294117647058,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,260.0
00008353,2015,1,HOSPITALIZACIÓN QUIRÚRGICA UROLOGÍA,1,68.0,-67.0,67.0,-98.52941176470588,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,260.0
00008353,2015,1,HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA,6,68.0,-62.0,62.0,-91.17647058823529,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,260.0
00008353,2015,1,HOSPITALIZACIÓN DE MEDICINA MEDICINA INTERNA,30,68.0,-38.0,38.0,-55.88235294117647,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,260.0
00008353,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRÍA GENERAL,7,68.0,-61.0,61.0,-89.70588235294117,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,260.0
00008353,2015,1,HOSPIT. EN UNIDAD DE CUID.INTEN.-UNIDAD DE VIGILANCIA INTENSIVA (UVI)-MEDICINA,4,68.0,-64.0,64.0,-94.11764705882352,unico,data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,260.0
00006216,2015,1,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA DE CABEZA Y CUELLO / MÁXILO FACIAL,9,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA DE TÓRAX Y CARDIOVASCULAR,19,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PEDIÁTRICA,26,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PLÁSTICA/RECONSTRUCTIVA/ REPARADORA QUEMADOS,20,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN QUIRÚRGICA NEUROCIRUGÍA,22,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN QUIRÚRGICA TRAUMATOLOGÍA Y ORTOPEDIA,36,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN QUIRÚRGICA UROLOGÍA,7,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN DE MEDICINA MEDICINA TROPICAL E INFECCIOSAS,28,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRÍA GENERAL,82,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA CARDIOLOGÍA PEDIÁTRICA,24,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA DERMATOLOGÍA PEDIÁTRICA,10,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA GASTROENTEROLOGÍA PEDIÁTRICA,10,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA GINECOLOGÍA PEDIÁTRICA,2,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEFROLOGÍA PEDIÁTRICA,6,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEONATOLOGÍA,10,,,,,sin_match,,
00006216,2015,1,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEUMOLOGÍA PEDIÁTRICA,23,,,,,sin_match,,
