codigo_ipress,anio,mes,servicios_d,servicios_con_camas_validas,suma_total_camas_d,max_total_camas_d,CA_CAMAS,estado_calidad_a,diferencia_suma_total_camas_d,diferencia_pct_suma_total_camas_d,diferencia_max_total_camas_d,diferencia_pct_max_total_camas_d
00005617,2019,1,5,5,169.0,76.0,148.0,UNICA,21.0,14.18918918918919,-72.0,-48.64864864864865
00005617,2019,2,5,5,169.0,76.0,169.0,UNICA,0.0,0.0,-93.0,-55.02958579881657
00005617,2019,3,5,5,169.0,76.0,169.0,UNICA,0.0,0.0,-93.0,-55.02958579881657
00005617,2019,4,6,6,115.0,41.0,169.0,UNICA,-54.0,-31.952662721893493,-128.0,-75.7396449704142
00005617,2019,5,6,6,115.0,41.0,169.0,UNICA,-54.0,-31.952662721893493,-128.0,-75.7396449704142
00005617,2019,6,6,6,115.0,41.0,169.0,UNICA,-54.0,-31.952662721893493,-128.0,-75.7396449704142
00005617,2019,7,6,6,115.0,41.0,145.0,UNICA,-30.0,-20.689655172413794,-104.0,-71.72413793103448
00005617,2019,8,6,6,115.0,41.0,145.0,UNICA,-30.0,-20.689655172413794,-104.0,-71.72413793103448
00005617,2019,9,6,6,115.0,41.0,145.0,UNICA,-30.0,-20.689655172413794,-104.0,-71.72413793103448
00005617,2019,10,6,6,115.0,41.0,145.0,UNICA,-30.0,-20.689655172413794,-104.0,-71.72413793103448
00005617,2019,11,6,6,115.0,41.0,145.0,UNICA,-30.0,-20.689655172413794,-104.0,-71.72413793103448
00005617,2020,1,6,6,115.0,41.0,145.0,UNICA,-30.0,-20.689655172413794,-104.0,-71.72413793103448
00005617,2020,2,6,6,115.0,41.0,145.0,UNICA,-30.0,-20.689655172413794,-104.0,-71.72413793103448
00005617,2020,3,6,6,115.0,41.0,145.0,UNICA,-30.0,-20.689655172413794,-104.0,-71.72413793103448
00005617,2020,4,6,6,115.0,41.0,145.0,UNICA,-30.0,-20.689655172413794,-104.0,-71.72413793103448
00005617,2020,5,6,6,115.0,41.0,145.0,UNICA,-30.0,-20.689655172413794,-104.0,-71.72413793103448
00005617,2020,6,6,6,115.0,41.0,145.0,UNICA,-30.0,-20.689655172413794,-104.0,-71.72413793103448
00005617,2020,7,6,6,115.0,41.0,145.0,UNICA,-30.0,-20.689655172413794,-104.0,-71.72413793103448
00005617,2020,8,6,6,115.0,41.0,145.0,UNICA,-30.0,-20.689655172413794,-104.0,-71.72413793103448
00005617,2020,9,6,6,115.0,41.0,145.0,UNICA,-30.0,-20.689655172413794,-104.0,-71.72413793103448
00005617,2020,10,4,4,93.0,41.0,145.0,UNICA,-52.0,-35.86206896551724,-104.0,-71.72413793103448
00005617,2020,11,4,4,279.0,209.0,145.0,UNICA,134.0,92.41379310344827,64.0,44.13793103448276
00005617,2020,12,4,4,290.0,209.0,145.0,UNICA,145.0,100.0,64.0,44.13793103448276
00005617,2021,1,2,2,205.0,179.0,145.0,UNICA,60.0,41.37931034482759,34.0,23.448275862068964
00005617,2021,2,2,2,237.0,182.0,145.0,UNICA,92.0,63.44827586206897,37.0,25.517241379310345
00005617,2021,3,2,2,243.0,188.0,145.0,UNICA,98.0,67.58620689655173,43.0,29.655172413793103
00005617,2021,4,7,7,470.0,278.0,145.0,UNICA,325.0,224.13793103448273,133.0,91.72413793103448
00005617,2021,5,7,7,342.0,148.0,145.0,UNICA,197.0,135.86206896551724,3.0,2.0689655172413794
00005617,2021,6,7,7,323.0,133.0,145.0,UNICA,178.0,122.75862068965517,-12.0,-8.275862068965518
00005617,2021,7,7,7,322.0,126.0,145.0,UNICA,177.0,122.06896551724138,-19.0,-13.10344827586207
00005617,2021,8,7,7,330.0,127.0,145.0,UNICA,185.0,127.58620689655173,-18.0,-12.413793103448276
00005617,2021,9,7,7,330.0,128.0,145.0,UNICA,185.0,127.58620689655173,-17.0,-11.724137931034482
00005617,2021,10,7,7,335.0,127.0,145.0,UNICA,190.0,131.0344827586207,-18.0,-12.413793103448276
00005617,2021,11,7,7,334.0,122.0,145.0,UNICA,189.0,130.3448275862069,-23.0,-15.862068965517242
00005617,2021,12,7,7,340.0,123.0,145.0,UNICA,195.0,134.48275862068965,-22.0,-15.172413793103448
00005617,2022,1,7,7,329.0,124.0,145.0,UNICA,184.0,126.89655172413794,-21.0,-14.482758620689657
00005617,2022,2,7,7,249.0,80.0,145.0,UNICA,104.0,71.72413793103448,-65.0,-44.827586206896555
00005617,2022,3,7,7,249.0,80.0,145.0,UNICA,104.0,71.72413793103448,-65.0,-44.827586206896555
00005617,2022,4,7,7,241.0,80.0,145.0,UNICA,96.0,66.20689655172414,-65.0,-44.827586206896555
00005617,2022,5,7,7,234.0,69.0,145.0,UNICA,89.0,61.37931034482759,-76.0,-52.41379310344828
00005617,2022,6,7,7,227.0,72.0,145.0,UNICA,82.0,56.55172413793104,-73.0,-50.3448275862069
00005617,2022,7,7,7,227.0,72.0,145.0,UNICA,82.0,56.55172413793104,-73.0,-50.3448275862069
00005617,2022,8,7,7,227.0,72.0,145.0,UNICA,82.0,56.55172413793104,-73.0,-50.3448275862069
00005617,2022,9,7,7,234.0,72.0,145.0,UNICA,89.0,61.37931034482759,-73.0,-50.3448275862069
00005617,2022,10,7,7,233.0,72.0,145.0,UNICA,88.0,60.689655172413794,-73.0,-50.3448275862069
00005617,2022,11,6,6,221.0,72.0,145.0,UNICA,76.0,52.41379310344828,-73.0,-50.3448275862069
00005617,2022,12,5,5,211.0,72.0,145.0,UNICA,66.0,45.51724137931035,-73.0,-50.3448275862069
00005617,2023,1,6,6,114.0,38.0,145.0,UNICA,-31.0,-21.379310344827587,-107.0,-73.79310344827587
00005617,2023,2,6,6,115.0,38.0,145.0,UNICA,-30.0,-20.689655172413794,-107.0,-73.79310344827587
00005617,2023,3,6,6,115.0,38.0,145.0,UNICA,-30.0,-20.689655172413794,-107.0,-73.79310344827587
00005617,2023,4,6,6,113.0,38.0,145.0,UNICA,-32.0,-22.06896551724138,-107.0,-73.79310344827587
00005617,2023,5,6,6,114.0,38.0,145.0,UNICA,-31.0,-21.379310344827587,-107.0,-73.79310344827587
00005617,2023,6,6,6,123.0,42.0,145.0,UNICA,-22.0,-15.172413793103448,-103.0,-71.03448275862068
00005617,2023,7,6,6,109.0,30.0,145.0,UNICA,-36.0,-24.82758620689655,-115.0,-79.3103448275862
00005617,2023,8,6,6,109.0,30.0,145.0,UNICA,-36.0,-24.82758620689655,-115.0,-79.3103448275862
