codigo_ipress,anio,mes,CA_CAMAS,CA_MEDICOS_TOTAL,CA_MEDICOS_RESIDENTES,CA_ENFERMERAS,departamento,provincia,distrito,sector,categoria,nombre_ipress,_codigo_original,_anio_original,_mes_original,_clave_valida,_archivo,_registro,_huella_fila,original_ANHO,original_MES,original_UBIGEO,original_DEPARTAMENTO,original_PROVINCIA,original_DISTRITO,original_SECTOR,original_CATEGORIA,original_CO_IPRESS,original_RAZON_SOC,original_CA_CONSULTORIOS,original_CA_CONSULTORIOS_FN,original_CA_CAMAS,original_CA_MEDICOS_TOTAL,original_CA_MEDICOS_SERUM,original_CA_MEDICOS_RESIDENTES,original_CA_ENFERMERAS,original_CA_ODONTOLOGOS,original_CA_PSICOLOGOS,original_CA_NUTRICIONISTAS,original_CA_TECNOLOGOS_MEDICOS,original_CA_OBSTETRICES,original_CA_FARMACEUTICOS,original_CA_AUXILIARES,original_CA_OTROS_PROF,original_CA_AMBULANCIAS,filas_clave
00002418,2024,12,NE_0002,NE_0002,NE_0002,NE_0002,CUSCO,ESPINAR,PICHIGUA,GOBIERNO REGIONAL,I-2,SAN MIGUEL,00002418,2024,12,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,29,1242102753662503561,2024,12,080806,CUSCO,ESPINAR,PICHIGUA,GOBIERNO REGIONAL,I-2,00002418,SAN MIGUEL,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,3
00002412,2024,12,NE_0002,NE_0002,NE_0002,NE_0002,CUSCO,ESPINAR,COPORAQUE,GOBIERNO REGIONAL,I-3,COPORAQUE,00002412,2024,12,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,30,17788854849603498389,2024,12,080803,CUSCO,ESPINAR,COPORAQUE,GOBIERNO REGIONAL,I-3,00002412,COPORAQUE,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,3
00030366,2024,12,NE_0002,NE_0002,NE_0002,NE_0002,CUSCO,ESPINAR,ESPINAR,GOBIERNO REGIONAL,I-2,"MENTAL COMUNITARIO ESPINAR ""MUSUQ KAWSAY""",00030366,2024,12,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,31,7373468288124360846,2024,12,080801,CUSCO,ESPINAR,ESPINAR,GOBIERNO REGIONAL,I-2,00030366,"MENTAL COMUNITARIO ESPINAR ""MUSUQ KAWSAY""",NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,3
00016886,2024,10,0,0,0,1,CAJAMARCA,CAJAMARCA,MAGDALENA,GOBIERNO REGIONAL,I-1,SAN CRISTOBAL,00016886,2024,10,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,67,10666862488477126416,2024,10,060109,CAJAMARCA,CAJAMARCA,MAGDALENA,GOBIERNO REGIONAL,I-1,00016886,SAN CRISTOBAL,5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3
00015496,2024,10,0,2,0,7,CAJAMARCA,CAJAMARCA,CAJAMARCA,GOBIERNO REGIONAL,I-2,CHONTAPACCHA,00015496,2024,10,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,68,4267472435635599998,2024,10,060101,CAJAMARCA,CAJAMARCA,CAJAMARCA,GOBIERNO REGIONAL,I-2,00015496,CHONTAPACCHA,5,5,0,2,1,0,7,2,1,0,0,7,0,6,0,0,3
00004657,2024,10,10,8,0,17,CAJAMARCA,CAJAMARCA,CAJAMARCA,GOBIERNO REGIONAL,I-3,PACHACUTEC,00004657,2024,10,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,69,2578718552023283091,2024,10,060101,CAJAMARCA,CAJAMARCA,CAJAMARCA,GOBIERNO REGIONAL,I-3,00004657,PACHACUTEC,12,12,10,8,0,0,17,3,4,2,0,14,2,15,50,1,3
00004654,2024,10,0,2,0,4,CAJAMARCA,CAJAMARCA,CAJAMARCA,GOBIERNO REGIONAL,I-1,SAMANACRUZ,00004654,2024,10,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,71,16481817926269522059,2024,10,060101,CAJAMARCA,CAJAMARCA,CAJAMARCA,GOBIERNO REGIONAL,I-1,00004654,SAMANACRUZ,3,3,0,2,0,0,4,0,0,0,0,3,0,4,0,0,3
00004653,2024,10,0,2,0,3,CAJAMARCA,CAJAMARCA,CHETILLA,GOBIERNO REGIONAL,I-2,CHETILLA,00004653,2024,10,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,72,11128333764709554410,2024,10,060103,CAJAMARCA,CAJAMARCA,CHETILLA,GOBIERNO REGIONAL,I-2,00004653,CHETILLA,4,4,0,2,1,0,3,0,0,0,0,2,0,3,0,1,3
00004652,2024,10,0,0,0,1,CAJAMARCA,CAJAMARCA,CAJAMARCA,GOBIERNO REGIONAL,I-1,LUCMACUCHO,00004652,2024,10,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,73,10035056100829801109,2024,10,060101,CAJAMARCA,CAJAMARCA,CAJAMARCA,GOBIERNO REGIONAL,I-1,00004652,LUCMACUCHO,2,2,0,0,0,0,1,0,0,0,0,2,0,1,0,0,3
00004651,2024,10,1,0,0,1,CAJAMARCA,CAJAMARCA,CAJAMARCA,GOBIERNO REGIONAL,I-1,CHAMIS,00004651,2024,10,True,data\raw\Capacidad\ConsultaA_2024_v22.csv,74,9820848782786511959,2024,10,060101,CAJAMARCA,CAJAMARCA,CAJAMARCA,GOBIERNO REGIONAL,I-1,00004651,CHAMIS,4,3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,3
