codigo_ipress,anio,mes,filas_originales,versiones_distintas,estado_calidad_a,cantidad_eliminada
00000213,2025,8,2,1,DUPLICADO_EXACTO,1
00000213,2026,3,2,1,DUPLICADO_EXACTO,1
00000226,2026,1,2,1,DUPLICADO_EXACTO,1
00000227,2026,1,2,1,DUPLICADO_EXACTO,1
00000310,2020,6,2,1,DUPLICADO_EXACTO,1
00000310,2020,8,2,1,DUPLICADO_EXACTO,1
00000310,2020,9,3,1,DUPLICADO_EXACTO,2
00000310,2020,10,2,1,DUPLICADO_EXACTO,1
00000310,2020,11,2,1,DUPLICADO_EXACTO,1
00000310,2020,12,2,1,DUPLICADO_EXACTO,1
00000310,2021,1,2,1,DUPLICADO_EXACTO,1
00000310,2021,2,3,1,DUPLICADO_EXACTO,2
00000310,2021,5,2,1,DUPLICADO_EXACTO,1
00000310,2021,10,2,1,DUPLICADO_EXACTO,1
00000310,2022,7,3,1,DUPLICADO_EXACTO,2
00000310,2023,1,2,1,DUPLICADO_EXACTO,1
00000310,2024,4,2,1,DUPLICADO_EXACTO,1
00000310,2024,10,2,1,DUPLICADO_EXACTO,1
00000311,2019,8,2,1,DUPLICADO_EXACTO,1
00000317,2019,8,2,1,DUPLICADO_EXACTO,1
00000318,2020,6,2,1,DUPLICADO_EXACTO,1
00000318,2020,8,2,1,DUPLICADO_EXACTO,1
00000318,2020,9,3,1,DUPLICADO_EXACTO,2
00000318,2020,10,2,1,DUPLICADO_EXACTO,1
00000318,2020,11,2,1,DUPLICADO_EXACTO,1
00000318,2021,1,2,1,DUPLICADO_EXACTO,1
00000318,2021,2,3,1,DUPLICADO_EXACTO,2
00000318,2021,5,2,1,DUPLICADO_EXACTO,1
00000318,2021,10,2,1,DUPLICADO_EXACTO,1
00000318,2022,1,2,1,DUPLICADO_EXACTO,1
00000318,2022,7,3,1,DUPLICADO_EXACTO,2
00000318,2023,1,2,1,DUPLICADO_EXACTO,1
00000318,2024,4,2,1,DUPLICADO_EXACTO,1
00000318,2024,10,2,1,DUPLICADO_EXACTO,1
00000319,2020,6,2,1,DUPLICADO_EXACTO,1
00000319,2020,8,2,1,DUPLICADO_EXACTO,1
00000319,2020,9,3,1,DUPLICADO_EXACTO,2
00000319,2020,10,2,1,DUPLICADO_EXACTO,1
00000319,2020,11,2,1,DUPLICADO_EXACTO,1
00000319,2020,12,2,1,DUPLICADO_EXACTO,1
00000319,2021,1,2,1,DUPLICADO_EXACTO,1
00000319,2021,2,3,1,DUPLICADO_EXACTO,2
00000319,2021,5,2,1,DUPLICADO_EXACTO,1
00000319,2021,10,2,1,DUPLICADO_EXACTO,1
00000319,2022,1,2,1,DUPLICADO_EXACTO,1
00000319,2022,7,3,1,DUPLICADO_EXACTO,2
00000319,2023,1,2,1,DUPLICADO_EXACTO,1
00000319,2024,4,2,1,DUPLICADO_EXACTO,1
00000319,2024,10,2,1,DUPLICADO_EXACTO,1
00000320,2019,12,2,1,DUPLICADO_EXACTO,1
00000320,2020,6,2,1,DUPLICADO_EXACTO,1
00000320,2020,8,2,1,DUPLICADO_EXACTO,1
00000320,2020,9,3,1,DUPLICADO_EXACTO,2
00000320,2020,10,2,1,DUPLICADO_EXACTO,1
00000320,2020,11,2,1,DUPLICADO_EXACTO,1
00000320,2020,12,2,1,DUPLICADO_EXACTO,1
