archivo,filas,encoding,separador,anios,columnas,equivalencias,otras_columnas_capacidad_rrhh,claves_invalidas,sha256,error
data\raw\Capacidad\ConsultaA_2024_v22.csv,48879,latin1,;,[2024],"[""ANHO"", ""MES"", ""UBIGEO"", ""DEPARTAMENTO"", ""PROVINCIA"", ""DISTRITO"", ""SECTOR"", ""CATEGORIA"", ""CO_IPRESS"", ""RAZON_SOC"", ""CA_CONSULTORIOS"", ""CA_CONSULTORIOS_FN"", ""CA_CAMAS"", ""CA_MEDICOS_TOTAL"", ""CA_MEDICOS_SERUM"", ""CA_MEDICOS_RESIDENTES"", ""CA_ENFERMERAS"", ""CA_ODONTOLOGOS"", ""CA_PSICOLOGOS"", ""CA_NUTRICIONISTAS"", ""CA_TECNOLOGOS_MEDICOS"", ""CA_OBSTETRICES"", ""CA_FARMACEUTICOS"", ""CA_AUXILIARES"", ""CA_OTROS_PROF"", ""CA_AMBULANCIAS""]","{""codigo_ipress"": ""CO_IPRESS"", ""anio"": ""ANHO"", ""mes"": ""MES"", ""CA_CAMAS"": ""CA_CAMAS"", ""CA_MEDICOS_TOTAL"": ""CA_MEDICOS_TOTAL"", ""CA_MEDICOS_RESIDENTES"": ""CA_MEDICOS_RESIDENTES"", ""CA_ENFERMERAS"": ""CA_ENFERMERAS"", ""departamento"": ""DEPARTAMENTO"", ""provincia"": ""PROVINCIA"", ""distrito"": ""DISTRITO"", ""sector"": ""SECTOR"", ""categoria"": ""CATEGORIA"", ""nombre_ipress"": ""RAZON_SOC""}","[""CA_CONSULTORIOS"", ""CA_CONSULTORIOS_FN"", ""CA_MEDICOS_SERUM"", ""CA_ODONTOLOGOS"", ""CA_PSICOLOGOS"", ""CA_NUTRICIONISTAS"", ""CA_TECNOLOGOS_MEDICOS"", ""CA_OBSTETRICES"", ""CA_FARMACEUTICOS"", ""CA_AUXILIARES"", ""CA_OTROS_PROF"", ""CA_AMBULANCIAS""]",0,affbdf769f2fc3f409de4474a6489ac579bee55cf68390c9b4e8eab34530f345,
data\raw\Capacidad\ConsultaA_2025_v22.csv,60586,utf-8-sig,;,[2025],"[""ANHO"", ""MES"", ""UBIGEO"", ""DEPARTAMENTO"", ""PROVINCIA"", ""DISTRITO"", ""SECTOR"", ""CATEGORIA"", ""CO_IPRESS"", ""RAZON_SOC"", ""CA_CONSULTORIOS"", ""CA_CONSULTORIOS_FN"", ""CA_CAMAS"", ""CA_MEDICOS_TOTAL"", ""CA_MEDICOS_SERUM"", ""CA_MEDICOS_RESIDENTES"", ""CA_ENFERMERAS"", ""CA_ODONTOLOGOS"", ""CA_PSICOLOGOS"", ""CA_NUTRICIONISTAS"", ""CA_TECNOLOGOS_MEDICOS"", ""CA_OBSTETRICES"", ""CA_FARMACEUTICOS"", ""CA_AUXILIARES"", ""CA_OTROS_PROF"", ""CA_AMBULANCIAS""]","{""codigo_ipress"": ""CO_IPRESS"", ""anio"": ""ANHO"", ""mes"": ""MES"", ""CA_CAMAS"": ""CA_CAMAS"", ""CA_MEDICOS_TOTAL"": ""CA_MEDICOS_TOTAL"", ""CA_MEDICOS_RESIDENTES"": ""CA_MEDICOS_RESIDENTES"", ""CA_ENFERMERAS"": ""CA_ENFERMERAS"", ""departamento"": ""DEPARTAMENTO"", ""provincia"": ""PROVINCIA"", ""distrito"": ""DISTRITO"", ""sector"": ""SECTOR"", ""categoria"": ""CATEGORIA"", ""nombre_ipress"": ""RAZON_SOC""}","[""CA_CONSULTORIOS"", ""CA_CONSULTORIOS_FN"", ""CA_MEDICOS_SERUM"", ""CA_ODONTOLOGOS"", ""CA_PSICOLOGOS"", ""CA_NUTRICIONISTAS"", ""CA_TECNOLOGOS_MEDICOS"", ""CA_OBSTETRICES"", ""CA_FARMACEUTICOS"", ""CA_AUXILIARES"", ""CA_OTROS_PROF"", ""CA_AMBULANCIAS""]",0,ff7d7f68bbaa8028e561a3c140205ba6b1925825a22a8cddf7af359197c59eb4,
data\raw\Capacidad\ConsultaA_2026_v13.csv,41150,utf-8-sig,;,[2026],"[""ANHO"", ""MES"", ""UBIGEO"", ""DEPARTAMENTO"", ""PROVINCIA"", ""DISTRITO"", ""SECTOR"", ""CATEGORIA"", ""CO_IPRESS"", ""RAZON_SOC"", ""CA_CONSULTORIOS"", ""CA_CONSULTORIOS_FN"", ""CA_CAMAS"", ""CA_MEDICOS_TOTAL"", ""CA_MEDICOS_SERUM"", ""CA_MEDICOS_RESIDENTES"", ""CA_ENFERMERAS"", ""CA_ODONTOLOGOS"", ""CA_PSICOLOGOS"", ""CA_NUTRICIONISTAS"", ""CA_TECNOLOGOS_MEDICOS"", ""CA_OBSTETRICES"", ""CA_FARMACEUTICOS"", ""CA_AUXILIARES"", ""CA_OTROS_PROF"", ""CA_AMBULANCIAS""]","{""codigo_ipress"": ""CO_IPRESS"", ""anio"": ""ANHO"", ""mes"": ""MES"", ""CA_CAMAS"": ""CA_CAMAS"", ""CA_MEDICOS_TOTAL"": ""CA_MEDICOS_TOTAL"", ""CA_MEDICOS_RESIDENTES"": ""CA_MEDICOS_RESIDENTES"", ""CA_ENFERMERAS"": ""CA_ENFERMERAS"", ""departamento"": ""DEPARTAMENTO"", ""provincia"": ""PROVINCIA"", ""distrito"": ""DISTRITO"", ""sector"": ""SECTOR"", ""categoria"": ""CATEGORIA"", ""nombre_ipress"": ""RAZON_SOC""}","[""CA_CONSULTORIOS"", ""CA_CONSULTORIOS_FN"", ""CA_MEDICOS_SERUM"", ""CA_ODONTOLOGOS"", ""CA_PSICOLOGOS"", ""CA_NUTRICIONISTAS"", ""CA_TECNOLOGOS_MEDICOS"", ""CA_OBSTETRICES"", ""CA_FARMACEUTICOS"", ""CA_AUXILIARES"", ""CA_OTROS_PROF"", ""CA_AMBULANCIAS""]",0,8c6dd3fe77ac8fc1d30366ce04a9cf7d622749f9154dab6b5ada471a8eef32f4,
data\raw\Capacidad\ConsultaA_Recurso_Salud_2015_v1.csv,619,latin1,",",[2015],"[""ANHO"", ""MES"", ""UBIGEO"", ""DEPARTAMENTO"", ""PROVINCIA"", ""DISTRITO"", ""SECTOR"", ""CATEGORIA"", ""CO_IPRESS"", ""RAZON_SOC"", ""CA_CONSULTORIOS"", ""CA_CONSULTORIOS_FN"", ""CA_CAMAS"", ""CA_MEDICOS_TOTAL"", ""CA_MEDICOS_SERUM"", ""CA_MEDICOS_RESIDENTES"", ""CA_ENFERMERAS"", ""CA_ODONTOLOGOS"", ""CA_PSICOLOGOS"", ""CA_NUTRICIONISTAS"", ""CA_TECNOLOGOS_MEDICOS"", ""CA_OBSTETRICES"", ""CA_FARMACEUTICOS"", ""CA_AUXILIARES"", ""CA_OTROS_PROF"", ""CA_AMBULANCIAS""]","{""codigo_ipress"": ""CO_IPRESS"", ""anio"": ""ANHO"", ""mes"": ""MES"", ""CA_CAMAS"": ""CA_CAMAS"", ""CA_MEDICOS_TOTAL"": ""CA_MEDICOS_TOTAL"", ""CA_MEDICOS_RESIDENTES"": ""CA_MEDICOS_RESIDENTES"", ""CA_ENFERMERAS"": ""CA_ENFERMERAS"", ""departamento"": ""DEPARTAMENTO"", ""provincia"": ""PROVINCIA"", ""distrito"": ""DISTRITO"", ""sector"": ""SECTOR"", ""categoria"": ""CATEGORIA"", ""nombre_ipress"": ""RAZON_SOC""}","[""CA_CONSULTORIOS"", ""CA_CONSULTORIOS_FN"", ""CA_MEDICOS_SERUM"", ""CA_ODONTOLOGOS"", ""CA_PSICOLOGOS"", ""CA_NUTRICIONISTAS"", ""CA_TECNOLOGOS_MEDICOS"", ""CA_OBSTETRICES"", ""CA_FARMACEUTICOS"", ""CA_AUXILIARES"", ""CA_OTROS_PROF"", ""CA_AMBULANCIAS""]",0,c28017218ab1a9fc04ed1458b24d53a70600ba0fc3a4de268bc713ef1a221653,
data\raw\Capacidad\ConsultaA_Recurso_Salud_2016_v1.csv,4689,latin1,",",[2016],"[""ANHO"", ""MES"", ""UBIGEO"", ""DEPARTAMENTO"", ""PROVINCIA"", ""DISTRITO"", ""SECTOR"", ""CATEGORIA"", ""CO_IPRESS"", ""RAZON_SOC"", ""CA_CONSULTORIOS"", ""CA_CONSULTORIOS_FN"", ""CA_CAMAS"", ""CA_MEDICOS_TOTAL"", ""CA_MEDICOS_SERUM"", ""CA_MEDICOS_RESIDENTES"", ""CA_ENFERMERAS"", ""CA_ODONTOLOGOS"", ""CA_PSICOLOGOS"", ""CA_NUTRICIONISTAS"", ""CA_TECNOLOGOS_MEDICOS"", ""CA_OBSTETRICES"", ""CA_FARMACEUTICOS"", ""CA_AUXILIARES"", ""CA_OTROS_PROF"", ""CA_AMBULANCIAS""]","{""codigo_ipress"": ""CO_IPRESS"", ""anio"": ""ANHO"", ""mes"": ""MES"", ""CA_CAMAS"": ""CA_CAMAS"", ""CA_MEDICOS_TOTAL"": ""CA_MEDICOS_TOTAL"", ""CA_MEDICOS_RESIDENTES"": ""CA_MEDICOS_RESIDENTES"", ""CA_ENFERMERAS"": ""CA_ENFERMERAS"", ""departamento"": ""DEPARTAMENTO"", ""provincia"": ""PROVINCIA"", ""distrito"": ""DISTRITO"", ""sector"": ""SECTOR"", ""categoria"": ""CATEGORIA"", ""nombre_ipress"": ""RAZON_SOC""}","[""CA_CONSULTORIOS"", ""CA_CONSULTORIOS_FN"", ""CA_MEDICOS_SERUM"", ""CA_ODONTOLOGOS"", ""CA_PSICOLOGOS"", ""CA_NUTRICIONISTAS"", ""CA_TECNOLOGOS_MEDICOS"", ""CA_OBSTETRICES"", ""CA_FARMACEUTICOS"", ""CA_AUXILIARES"", ""CA_OTROS_PROF"", ""CA_AMBULANCIAS""]",0,ee6ddec822b36089aa56d2f28e14aece0dfe8b6f03d24f88fff2d464be41ba3f,
data\raw\Capacidad\ConsultaA_Recurso_Salud_2017_v1.csv,9981,latin1,",",[2017],"[""ANHO"", ""MES"", ""UBIGEO"", ""DEPARTAMENTO"", ""PROVINCIA"", ""DISTRITO"", ""SECTOR"", ""CATEGORIA"", ""CO_IPRESS"", ""RAZON_SOC"", ""CA_CONSULTORIOS"", ""CA_CONSULTORIOS_FN"", ""CA_CAMAS"", ""CA_MEDICOS_TOTAL"", ""CA_MEDICOS_SERUM"", ""CA_MEDICOS_RESIDENTES"", ""CA_ENFERMERAS"", ""CA_ODONTOLOGOS"", ""CA_PSICOLOGOS"", ""CA_NUTRICIONISTAS"", ""CA_TECNOLOGOS_MEDICOS"", ""CA_OBSTETRICES"", ""CA_FARMACEUTICOS"", ""CA_AUXILIARES"", ""CA_OTROS_PROF"", ""CA_AMBULANCIAS""]","{""codigo_ipress"": ""CO_IPRESS"", ""anio"": ""ANHO"", ""mes"": ""MES"", ""CA_CAMAS"": ""CA_CAMAS"", ""CA_MEDICOS_TOTAL"": ""CA_MEDICOS_TOTAL"", ""CA_MEDICOS_RESIDENTES"": ""CA_MEDICOS_RESIDENTES"", ""CA_ENFERMERAS"": ""CA_ENFERMERAS"", ""departamento"": ""DEPARTAMENTO"", ""provincia"": ""PROVINCIA"", ""distrito"": ""DISTRITO"", ""sector"": ""SECTOR"", ""categoria"": ""CATEGORIA"", ""nombre_ipress"": ""RAZON_SOC""}","[""CA_CONSULTORIOS"", ""CA_CONSULTORIOS_FN"", ""CA_MEDICOS_SERUM"", ""CA_ODONTOLOGOS"", ""CA_PSICOLOGOS"", ""CA_NUTRICIONISTAS"", ""CA_TECNOLOGOS_MEDICOS"", ""CA_OBSTETRICES"", ""CA_FARMACEUTICOS"", ""CA_AUXILIARES"", ""CA_OTROS_PROF"", ""CA_AMBULANCIAS""]",0,111db538a5140e2f2155b13418b85ef7f5396a735eba643d30160fa7b6102bc0,
data\raw\Capacidad\ConsultaA_Recurso_Salud_2018_v2.csv,29951,latin1,",",[2018],"[""ANHO"", ""MES"", ""UBIGEO"", ""DEPARTAMENTO"", ""PROVINCIA"", ""DISTRITO"", ""SECTOR"", ""CATEGORIA"", ""CO_IPRESS"", ""RAZON_SOC"", ""CA_CONSULTORIOS"", ""CA_CONSULTORIOS_FN"", ""CA_CAMAS"", ""CA_MEDICOS_TOTAL"", ""CA_MEDICOS_SERUM"", ""CA_MEDICOS_RESIDENTES"", ""CA_ENFERMERAS"", ""CA_ODONTOLOGOS"", ""CA_PSICOLOGOS"", ""CA_NUTRICIONISTAS"", ""CA_TECNOLOGOS_MEDICOS"", ""CA_OBSTETRICES"", ""CA_FARMACEUTICOS"", ""CA_AUXILIARES"", ""CA_OTROS_PROF"", ""CA_AMBULANCIAS""]","{""codigo_ipress"": ""CO_IPRESS"", ""anio"": ""ANHO"", ""mes"": ""MES"", ""CA_CAMAS"": ""CA_CAMAS"", ""CA_MEDICOS_TOTAL"": ""CA_MEDICOS_TOTAL"", ""CA_MEDICOS_RESIDENTES"": ""CA_MEDICOS_RESIDENTES"", ""CA_ENFERMERAS"": ""CA_ENFERMERAS"", ""departamento"": ""DEPARTAMENTO"", ""provincia"": ""PROVINCIA"", ""distrito"": ""DISTRITO"", ""sector"": ""SECTOR"", ""categoria"": ""CATEGORIA"", ""nombre_ipress"": ""RAZON_SOC""}","[""CA_CONSULTORIOS"", ""CA_CONSULTORIOS_FN"", ""CA_MEDICOS_SERUM"", ""CA_ODONTOLOGOS"", ""CA_PSICOLOGOS"", ""CA_NUTRICIONISTAS"", ""CA_TECNOLOGOS_MEDICOS"", ""CA_OBSTETRICES"", ""CA_FARMACEUTICOS"", ""CA_AUXILIARES"", ""CA_OTROS_PROF"", ""CA_AMBULANCIAS""]",0,343ff674d8c8a877806a0a05de6d9134ef07d99c3ae2cd95956a1cb52e8636d5,
data\raw\Capacidad\ConsultaA_Recurso_Salud_2019_v7.csv,33958,latin1,",",[2019],"[""ANHO"", ""MES"", ""UBIGEO"", ""DEPARTAMENTO"", ""PROVINCIA"", ""DISTRITO"", ""SECTOR"", ""CATEGORIA"", ""CO_IPRESS"", ""RAZON_SOC"", ""CA_CONSULTORIOS"", ""CA_CONSULTORIOS_FN"", ""CA_CAMAS"", ""CA_MEDICOS_TOTAL"", ""CA_MEDICOS_SERUM"", ""CA_MEDICOS_RESIDENTES"", ""CA_ENFERMERAS"", ""CA_ODONTOLOGOS"", ""CA_PSICOLOGOS"", ""CA_NUTRICIONISTAS"", ""CA_TECNOLOGOS_MEDICOS"", ""CA_OBSTETRICES"", ""CA_FARMACEUTICOS"", ""CA_AUXILIARES"", ""CA_OTROS_PROF"", ""CA_AMBULANCIAS""]","{""codigo_ipress"": ""CO_IPRESS"", ""anio"": ""ANHO"", ""mes"": ""MES"", ""CA_CAMAS"": ""CA_CAMAS"", ""CA_MEDICOS_TOTAL"": ""CA_MEDICOS_TOTAL"", ""CA_MEDICOS_RESIDENTES"": ""CA_MEDICOS_RESIDENTES"", ""CA_ENFERMERAS"": ""CA_ENFERMERAS"", ""departamento"": ""DEPARTAMENTO"", ""provincia"": ""PROVINCIA"", ""distrito"": ""DISTRITO"", ""sector"": ""SECTOR"", ""categoria"": ""CATEGORIA"", ""nombre_ipress"": ""RAZON_SOC""}","[""CA_CONSULTORIOS"", ""CA_CONSULTORIOS_FN"", ""CA_MEDICOS_SERUM"", ""CA_ODONTOLOGOS"", ""CA_PSICOLOGOS"", ""CA_NUTRICIONISTAS"", ""CA_TECNOLOGOS_MEDICOS"", ""CA_OBSTETRICES"", ""CA_FARMACEUTICOS"", ""CA_AUXILIARES"", ""CA_OTROS_PROF"", ""CA_AMBULANCIAS""]",0,6d54e5cd49bd23e8fd18553889c1c2795a06bcbe63f477113a3946ce7f4ad0ae,
data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,40835,latin1,",",[2020],"[""ANHO"", ""MES"", ""UBIGEO"", ""DEPARTAMENTO"", ""PROVINCIA"", ""DISTRITO"", ""SECTOR"", ""CATEGORIA"", ""CO_IPRESS"", ""RAZON_SOC"", ""CA_CONSULTORIOS"", ""CA_CONSULTORIOS_FN"", ""CA_CAMAS"", ""CA_MEDICOS_TOTAL"", ""CA_MEDICOS_SERUM"", ""CA_MEDICOS_RESIDENTES"", ""CA_ENFERMERAS"", ""CA_ODONTOLOGOS"", ""CA_PSICOLOGOS"", ""CA_NUTRICIONISTAS"", ""CA_TECNOLOGOS_MEDICOS"", ""CA_OBSTETRICES"", ""CA_FARMACEUTICOS"", ""CA_AUXILIARES"", ""CA_OTROS_PROF"", ""CA_AMBULANCIAS""]","{""codigo_ipress"": ""CO_IPRESS"", ""anio"": ""ANHO"", ""mes"": ""MES"", ""CA_CAMAS"": ""CA_CAMAS"", ""CA_MEDICOS_TOTAL"": ""CA_MEDICOS_TOTAL"", ""CA_MEDICOS_RESIDENTES"": ""CA_MEDICOS_RESIDENTES"", ""CA_ENFERMERAS"": ""CA_ENFERMERAS"", ""departamento"": ""DEPARTAMENTO"", ""provincia"": ""PROVINCIA"", ""distrito"": ""DISTRITO"", ""sector"": ""SECTOR"", ""categoria"": ""CATEGORIA"", ""nombre_ipress"": ""RAZON_SOC""}","[""CA_CONSULTORIOS"", ""CA_CONSULTORIOS_FN"", ""CA_MEDICOS_SERUM"", ""CA_ODONTOLOGOS"", ""CA_PSICOLOGOS"", ""CA_NUTRICIONISTAS"", ""CA_TECNOLOGOS_MEDICOS"", ""CA_OBSTETRICES"", ""CA_FARMACEUTICOS"", ""CA_AUXILIARES"", ""CA_OTROS_PROF"", ""CA_AMBULANCIAS""]",0,99ea3f9d156fb1d1a9567762a7747f6fd692463dd290a346d994c45be455e445,
data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,37758,latin1,;,[2021],"[""ANHO"", ""MES"", ""UBIGEO"", ""DEPARTAMENTO"", ""PROVINCIA"", ""DISTRITO"", ""SECTOR"", ""CATEGORIA"", ""CO_IPRESS"", ""RAZON_SOC"", ""CA_CONSULTORIOS"", ""CA_CONSULTORIOS_FN"", ""CA_CAMAS"", ""CA_MEDICOS_TOTAL"", ""CA_MEDICOS_SERUM"", ""CA_MEDICOS_RESIDENTES"", ""CA_ENFERMERAS"", ""CA_ODONTOLOGOS"", ""CA_PSICOLOGOS"", ""CA_NUTRICIONISTAS"", ""CA_TECNOLOGOS_MEDICOS"", ""CA_OBSTETRICES"", ""CA_FARMACEUTICOS"", ""CA_AUXILIARES"", ""CA_OTROS_PROF"", ""CA_AMBULANCIAS""]","{""codigo_ipress"": ""CO_IPRESS"", ""anio"": ""ANHO"", ""mes"": ""MES"", ""CA_CAMAS"": ""CA_CAMAS"", ""CA_MEDICOS_TOTAL"": ""CA_MEDICOS_TOTAL"", ""CA_MEDICOS_RESIDENTES"": ""CA_MEDICOS_RESIDENTES"", ""CA_ENFERMERAS"": ""CA_ENFERMERAS"", ""departamento"": ""DEPARTAMENTO"", ""provincia"": ""PROVINCIA"", ""distrito"": ""DISTRITO"", ""sector"": ""SECTOR"", ""categoria"": ""CATEGORIA"", ""nombre_ipress"": ""RAZON_SOC""}","[""CA_CONSULTORIOS"", ""CA_CONSULTORIOS_FN"", ""CA_MEDICOS_SERUM"", ""CA_ODONTOLOGOS"", ""CA_PSICOLOGOS"", ""CA_NUTRICIONISTAS"", ""CA_TECNOLOGOS_MEDICOS"", ""CA_OBSTETRICES"", ""CA_FARMACEUTICOS"", ""CA_AUXILIARES"", ""CA_OTROS_PROF"", ""CA_AMBULANCIAS""]",0,b1e8bb067866476634b46bd53a7f6e2a64f80f0c02fc75cd26ff68aa51f7c1cb,
