codigo_ipress,anio,mes,departamento,provincia,distrito,sector,categoria,CA_CAMAS,CA_MEDICOS_TOTAL,CA_MEDICOS_RESIDENTES,CA_ENFERMERAS,_archivo,_registro
00008318,2024,9,LIMA,LIMA,SANTA ANITA,ESSALUD,II-1,40,93,3,86,data\raw\Capacidad\ConsultaA_2024_v22.csv,46
00005947,2024,9,LIMA,LIMA,LURIGANCHO,MINSA,II-2,63,168,13,143,data\raw\Capacidad\ConsultaA_2024_v22.csv,51
00007734,2024,12,LIMA,LIMA,CHORRILLOS,MINSA,III-E,0,95,15,53,data\raw\Capacidad\ConsultaA_2024_v22.csv,104
00008353,2024,9,LIMA,LIMA,ATE,ESSALUD,II-1,66,111,14,109,data\raw\Capacidad\ConsultaA_2024_v22.csv,201
00008502,2024,12,LIMA,LIMA,LIMA,ESSALUD,II-2,180,410,79,292,data\raw\Capacidad\ConsultaA_2024_v22.csv,270
00008720,2024,9,LIMA,LIMA,JESUS MARIA,ESSALUD,III-2,1537,1561,413,1838,data\raw\Capacidad\ConsultaA_2024_v22.csv,338
00009251,2024,10,LIMA,LIMA,LA VICTORIA,ESSALUD,III-2,1116,1196,340,1218,data\raw\Capacidad\ConsultaA_2024_v22.csv,351
00017024,2024,9,LIMA,LIMA,JESUS MARIA,SANIDAD DEL EJERCITO DEL PERU,III-1,376,225,64,391,data\raw\Capacidad\ConsultaA_2024_v22.csv,535
00005883,2024,9,LIMA,LIMA,ATE,MINSA,II-1,50,103,0,100,data\raw\Capacidad\ConsultaA_2024_v22.csv,731
00005946,2024,11,LIMA,LIMA,EL AGUSTINO,MINSA,III-1,597,528,255,652,data\raw\Capacidad\ConsultaA_2024_v22.csv,739
00006213,2024,3,LIMA,LIMA,MIRAFLORES,MINSA,III-E,68,227,34,211,data\raw\Capacidad\ConsultaA_2024_v22.csv,800
00016918,2024,10,LIMA,LIMA,SAN BORJA,MINSA,III-2,241,444,102,507,data\raw\Capacidad\ConsultaA_2024_v22.csv,829
00007633,2024,12,LIMA,LIMA,SAN MARTIN DE PORRES,MINSA,III-1,379,478,297,669,data\raw\Capacidad\ConsultaA_2024_v22.csv,859
00006213,2024,1,LIMA,LIMA,MIRAFLORES,MINSA,III-E,71,227,34,211,data\raw\Capacidad\ConsultaA_2024_v22.csv,912
00012923,2024,12,LIMA,LIMA,PUENTE PIEDRA,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-2,0,1,0,0,data\raw\Capacidad\ConsultaA_2024_v22.csv,913
00005946,2024,12,LIMA,LIMA,EL AGUSTINO,MINSA,III-1,595,527,261,657,data\raw\Capacidad\ConsultaA_2024_v22.csv,932
00007633,2024,11,LIMA,LIMA,SAN MARTIN DE PORRES,MINSA,III-1,378,471,297,623,data\raw\Capacidad\ConsultaA_2024_v22.csv,1037
00006216,2024,9,LIMA,LIMA,BREÑA,MINSA,III-2,391,301,137,479,data\raw\Capacidad\ConsultaA_2024_v22.csv,1082
