codigo_ipress,servicio_hospitalizacion,anio,mes
00005947,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA OFTALMOLÓGICA,2015,11
00005947,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA OFTALMOLÓGICA,2015,10
00017024,HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL,2015,8
00006206,EMERGENCIA SHOCKTRAUMA / PRIORIDAD 1,2015,8
00006206,HOSPIT. EN UNIDAD DE CUID.INTEN.-UNIDAD DE TRAUMA SHOCK-,2015,8
00006206,UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTERMEDIOS GENERAL (UCIN),2015,8
00006206,UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS GENERALES (UCI),2015,8
00006206,EMERGENCIA SHOCKTRAUMA / PRIORIDAD 1,2015,9
00006206,HOSPIT. EN UNIDAD DE CUID.INTEN.-UNIDAD DE TRAUMA SHOCK-,2015,9
00006206,UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTERMEDIOS GENERAL (UCIN),2015,9
00006206,UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS GENERALES (UCI),2015,9
00006206,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRÍA GENERAL,2015,9
00006206,HOSPITALIZACIÓN QUIRÚRGICA GINECO - OBSTETRICIA,2015,9
00006206,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA DE TÓRAX Y CARDIOVASCULAR,2015,9
00006206,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PLÁSTICA/RECONSTRUCTIVA/ REPARADORA,2015,9
00006206,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA DE CABEZA Y CUELLO / MÁXILO FACIAL,2015,9
00006206,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PEDIÁTRICA,2015,9
00006206,HOSPITALIZACIÓN QUIRÚRGICA OTORRINOLARINGOLOGÍA,2015,9
00006206,HOSPITALIZACIÓN QUIRÚRGICA NEUROCIRUGÍA,2015,9
00006206,HOSPITALIZACIÓN QUIRÚRGICA UROLOGÍA,2015,9
00006206,HOSPITALIZACIÓN QUIRÚRGICA TRAUMATOLOGÍA Y ORTOPEDIA,2015,9
00006206,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL,2015,9
00006206,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEUROLOGÍA PEDIÁTRICA,2015,9
00006206,HOSPITALIZACIÓN DE MEDICINA MEDICINA TROPICAL E INFECCIOSAS,2015,9
00006206,HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL,2015,9
00005947,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PLÁSTICA/RECONSTRUCTIVA/ REPARADORA,2016,2
00007632,HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL,2016,2
00007632,HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL,2016,1
00007632,HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL,2016,3
00005947,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PLÁSTICA/RECONSTRUCTIVA/ REPARADORA,2016,3
00007632,HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL,2016,4
00005947,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PLÁSTICA/RECONSTRUCTIVA/ REPARADORA,2016,4
00005947,HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PLÁSTICA/RECONSTRUCTIVA/ REPARADORA,2016,11
00005947,HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRÍA GENERAL,2016,11
