archivo,fila_csv_aproximada,regla,severidad,descripcion,anio,mes,codigo_ipress,nombre_ipress,servicio_hospitalizacion,valores_relevantes,en_alcance_modelo,estado_revision
ConsultaD1_2024_v22.csv,3097,Q08,REVISAR,Ocupación auditada mayor a 120%,2024,06,00013914,CENTRO DE SALUD MILITAR RIMAC,HOSPITALIZACIÓN,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""8"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""4"", ""ocupacion_auditada"": 2.0}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_2024_v22.csv,36068,Q08,REVISAR,Ocupación auditada mayor a 120%,2024,07,00008318,ESSALUD - HOSPITAL I JORGE VOTO BERNALES CORPANCHO,HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""183"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""86"", ""ocupacion_auditada"": 2.127906976744186}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_2024_v22.csv,44329,Q08,REVISAR,Ocupación auditada mayor a 120%,2024,08,00005947,HOSPITAL DE MEDIANA COMPLEJIDAD JOSE AGURTO TELLO,HOSPITALIZACIÓN DE MEDICINA MEDICINA INTERNA ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""463"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""372"", ""ocupacion_auditada"": 1.2446236559139785}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_2025_v20.csv,268,Q08,REVISAR,Ocupación auditada mayor a 120%,2025,03,00005883,HOSPITAL DE HUAYCAN,HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA  ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""40"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""31"", ""ocupacion_auditada"": 1.2903225806451613}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_2025_v20.csv,5252,Q08,REVISAR,Ocupación auditada mayor a 120%,2025,05,00006000,CENTRO DE SALUD SAN GENARO DE VILLA,HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA   ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""11"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""7"", ""ocupacion_auditada"": 1.5714285714285714}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_2025_v20.csv,21089,Q08,REVISAR,Ocupación auditada mayor a 120%,2025,08,00008318,ESSALUD - HOSPITAL I JORGE VOTO BERNALES CORPANCHO,HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""262186"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""186"", ""ocupacion_auditada"": 1409.6021505376343}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_2025_v20.csv,22398,Q08,REVISAR,Ocupación auditada mayor a 120%,2025,03,00006000,CENTRO DE SALUD SAN GENARO DE VILLA,HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA   ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""12"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""8"", ""ocupacion_auditada"": 1.5}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_2025_v20.csv,23378,Q08,REVISAR,Ocupación auditada mayor a 120%,2025,04,00006000,CENTRO DE SALUD SAN GENARO DE VILLA,HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA   ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""11"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""7"", ""ocupacion_auditada"": 1.5714285714285714}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_2025_v20.csv,32858,Q08,REVISAR,Ocupación auditada mayor a 120%,2025,01,00005735,CENTRO MATERNO INFANTIL EL PROGRESO,HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""53"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""9"", ""ocupacion_auditada"": 5.888888888888889}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_2025_v20.csv,37761,Q08,REVISAR,Ocupación auditada mayor a 120%,2025,08,00013914,CENTRO DE SALUD MILITAR RIMAC,HOSPITALIZACIÓN,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""11"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""3"", ""ocupacion_auditada"": 3.6666666666666665}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_2025_v20.csv,50101,Q08,REVISAR,Ocupación auditada mayor a 120%,2025,09,00013914,CENTRO DE SALUD MILITAR RIMAC,HOSPITALIZACIÓN,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""11"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""3"", ""ocupacion_auditada"": 3.6666666666666665}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_2025_v20.csv,51159,Q08,REVISAR,Ocupación auditada mayor a 120%,2025,07,00013914,CENTRO DE SALUD MILITAR RIMAC,HOSPITALIZACIÓN,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""7"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""3"", ""ocupacion_auditada"": 2.3333333333333335}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_2025_v20.csv,55476,Q08,REVISAR,Ocupación auditada mayor a 120%,2025,09,00005883,HOSPITAL DE HUAYCAN,HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA  ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""56"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""30"", ""ocupacion_auditada"": 1.8666666666666667}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_2025_v20.csv,62099,Q08,REVISAR,Ocupación auditada mayor a 120%,2025,06,00006000,CENTRO DE SALUD SAN GENARO DE VILLA,HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA   ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""9"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""7"", ""ocupacion_auditada"": 1.2857142857142858}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_2025_v20.csv,69252,Q08,REVISAR,Ocupación auditada mayor a 120%,2025,11,00005883,HOSPITAL DE HUAYCAN,HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA  ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""49"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""30"", ""ocupacion_auditada"": 1.6333333333333333}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_2025_v20.csv,77841,Q08,REVISAR,Ocupación auditada mayor a 120%,2025,10,00013914,CENTRO DE SALUD MILITAR RIMAC,HOSPITALIZACIÓN,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""5"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""3"", ""ocupacion_auditada"": 1.6666666666666667}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_2025_v20.csv,81160,Q08,REVISAR,Ocupación auditada mayor a 120%,2025,11,00005947,HOSPITAL DE MEDIANA COMPLEJIDAD JOSE AGURTO TELLO,HOSPITALIZACIÓN DE MEDICINA MEDICINA INTERNA ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""451"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""360"", ""ocupacion_auditada"": 1.2527777777777778}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_2026_v8.csv,12650,Q08,REVISAR,Ocupación auditada mayor a 120%,2026,02,00005883,HOSPITAL DE HUAYCAN,HOSPITALIZACION QUIRURGICA GINECOLOGIA  ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""45"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""28"", ""ocupacion_auditada"": 1.6071428571428572}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_2026_v8.csv,19185,Q08,REVISAR,Ocupación auditada mayor a 120%,2026,03,00005883,HOSPITAL DE HUAYCAN,HOSPITALIZACION QUIRURGICA GINECOLOGIA  ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""53"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""31"", ""ocupacion_auditada"": 1.7096774193548387}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_2026_v8.csv,20360,Q08,REVISAR,Ocupación auditada mayor a 120%,2026,03,00008317,HOSPITAL AURELIO DIAZ UFANO Y PERAL,HOSPITALIZACION QUIRURGICA CIRUGIA GENERAL ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""327"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""34"", ""ocupacion_auditada"": 9.617647058823529}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
ConsultaD1_2026_v8.csv,24430,Q08,REVISAR,Ocupación auditada mayor a 120%,2026,04,00005883,HOSPITAL DE HUAYCAN,HOSPITALIZACION QUIRURGICA GINECOLOGIA  ,"{""NRO_TOTAL_PACIENTES_CAMAS"": ""46"", ""NRO_TOTAL_CAMAS_DISPONIB"": ""30"", ""ocupacion_auditada"": 1.5333333333333334}",True,PENDIENTE_VALIDACION_NO_USAR_ENTRENAMIENTO
