"ANHO","MES","UBIGEO","DEPARTAMENTO","PROVINCIA","DISTRITO","SECTOR","CATEGORIA","CO_IPRESS","RAZON_SOC","CA_CONSULTORIOS","CA_CONSULTORIOS_FN","CA_CAMAS","CA_MEDICOS_TOTAL","CA_MEDICOS_SERUM","CA_MEDICOS_RESIDENTES","CA_ENFERMERAS","CA_ODONTOLOGOS","CA_PSICOLOGOS","CA_NUTRICIONISTAS","CA_TECNOLOGOS_MEDICOS","CA_OBSTETRICES","CA_FARMACEUTICOS","CA_AUXILIARES","CA_OTROS_PROF","CA_AMBULANCIAS"
"2016","12","070102","CALLAO","CALLAO","BELLAVISTA","GOBIERNO REGIONAL","I-4","00006249","C.S. BELLAVISTA PERU COREA","22","33","10","14","1","0","9","3","3","3","1","10","1","2","0","1"
"2016","09","070101","CALLAO","CALLAO","CALLAO","GOBIERNO REGIONAL","I-2","00020823","CENTRO REGIONAL DE APOYO EMOCIONAL","8","7","0","1","0","0","0","0","6","0","1","1","0","2","1","0"
"2016","11","070101","CALLAO","CALLAO","CALLAO","GOBIERNO REGIONAL","I-2","00020823","CENTRO REGIONAL DE APOYO EMOCIONAL","8","7","0","1","0","0","1","0","6","0","1","1","0","2","1","0"
"2016","10","070101","CALLAO","CALLAO","CALLAO","GOBIERNO REGIONAL","I-2","00020823","CENTRO REGIONAL DE APOYO EMOCIONAL","8","7","0","1","0","0","0","0","6","0","1","1","0","2","1","0"
"2016","10","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","9","37","45","21","0","13","44","0","1","1","5","6","2","67","3","1"
"2016","01","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","9","37","45","19","0","13","34","0","1","1","0","6","2","60","1","1"
"2016","07","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","9","37","45","21","0","13","40","0","1","1","4","6","2","64","3","1"
"2016","03","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","9","37","45","20","0","13","37","0","1","1","0","6","2","60","1","1"
"2016","05","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","9","37","45","20","0","13","40","0","1","1","0","6","2","61","6","1"
"2016","12","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","9","37","44","21","0","13","44","0","1","1","5","6","2","67","3","1"
"2016","04","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","9","37","45","20","0","13","40","0","1","1","0","6","2","60","1","1"
"2016","02","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","9","37","45","20","0","13","36","0","1","1","0","6","2","60","1","1"
"2016","08","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","9","37","45","21","0","13","41","0","1","1","4","6","2","65","3","1"
"2016","09","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","9","37","45","21","0","13","41","0","1","1","5","6","2","67","3","1"
"2016","06","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","9","37","45","21","0","13","41","0","1","1","2","6","2","60","6","1"
"2016","11","200101","PIURA","PIURA","PIURA","PRIVADO","II-1","00018310","SANNA - CLINICA BELEN","9","37","45","68","0","0","35","0","1","1","0","5","2","42","1","1"
"2016","12","150117","LIMA","LIMA","LOS OLIVOS","PRIVADO","II-E","00018307","CLINICA MARIA SRL","2","5","15","6","0","0","4","0","1","1","2","0","1","8","0","0"
"2016","10","150117","LIMA","LIMA","LOS OLIVOS","PRIVADO","II-E","00018307","CLINICA MARIA SRL","2","5","15","6","0","0","4","0","1","1","2","0","1","8","0","0"
"2016","11","150117","LIMA","LIMA","LOS OLIVOS","PRIVADO","II-E","00018307","CLINICA MARIA SRL","2","5","15","6","0","0","4","0","1","1","2","0","1","8","0","0"
"2016","09","150117","LIMA","LIMA","LOS OLIVOS","PRIVADO","II-E","00018307","CLINICA MARIA SRL","2","5","15","6","0","0","4","0","1","1","2","0","1","8","0","0"
"2016","08","150117","LIMA","LIMA","LOS OLIVOS","PRIVADO","II-E","00018307","CLINICA MARIA SRL","2","5","15","6","0","0","4","0","1","1","2","0","1","8","0","0"
"2016","07","150117","LIMA","LIMA","LOS OLIVOS","PRIVADO","II-E","00018307","CLINICA MARIA SRL","2","5","15","6","0","0","4","0","1","1","2","0","1","8","0","0"
"2016","12","220101","SAN MARTIN","MOYOBAMBA","MOYOBAMBA","SANIDAD DE LA POLICIA NACIONAL DEL PERU","0","00018077","POLICLINICO PNP MOYOBAMBA","4","4","0","3","3","0","2","1","1","0","0","0","1","13","0","1"
"2016","11","220101","SAN MARTIN","MOYOBAMBA","MOYOBAMBA","SANIDAD DE LA POLICIA NACIONAL DEL PERU","0","00018077","POLICLINICO PNP MOYOBAMBA","4","4","0","4","3","0","2","1","1","0","0","0","1","12","0","1"
"2016","09","220101","SAN MARTIN","MOYOBAMBA","MOYOBAMBA","SANIDAD DE LA POLICIA NACIONAL DEL PERU","0","00018077","POLICLINICO PNP MOYOBAMBA","4","4","0","5","4","0","2","1","1","0","0","0","1","12","0","1"
"2016","10","220101","SAN MARTIN","MOYOBAMBA","MOYOBAMBA","SANIDAD DE LA POLICIA NACIONAL DEL PERU","0","00018077","POLICLINICO PNP MOYOBAMBA","4","4","0","3","2","0","1","1","1","0","0","0","1","13","0","1"
"2016","08","220101","SAN MARTIN","MOYOBAMBA","MOYOBAMBA","SANIDAD DE LA POLICIA NACIONAL DEL PERU","0","00018077","POLICLINICO PNP MOYOBAMBA","4","4","0","6","4","0","2","1","1","0","0","0","1","13","0","1"
"2016","12","010701","AMAZONAS","UTCUBAMBA","BAGUA GRANDE","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-3","00018106","POLICLINICO PNP BAGUA GRANDE","3","3","2","3","3","0","1","1","2","0","0","0","0","9","1","1"
"2016","11","010701","AMAZONAS","UTCUBAMBA","BAGUA GRANDE","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-3","00018106","POLICLINICO PNP BAGUA GRANDE","3","3","2","3","3","0","2","1","2","0","0","0","0","9","1","1"
"2016","09","010701","AMAZONAS","UTCUBAMBA","BAGUA GRANDE","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-3","00018106","POLICLINICO PNP BAGUA GRANDE","4","6","2","4","4","0","2","1","2","0","0","0","0","10","1","1"
"2016","10","010701","AMAZONAS","UTCUBAMBA","BAGUA GRANDE","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-3","00018106","POLICLINICO PNP BAGUA GRANDE","3","6","2","4","4","0","2","1","2","0","0","0","0","11","1","1"
"2016","08","010701","AMAZONAS","UTCUBAMBA","BAGUA GRANDE","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-3","00018106","POLICLINICO PNP BAGUA GRANDE","4","6","2","4","4","0","1","1","2","0","0","0","0","11","1","1"
"2016","07","070102","CALLAO","CALLAO","BELLAVISTA","GOBIERNO REGIONAL","II-E","00017883","HOSPITAL DE REHABILITACION DEL CALLAO","9","5","0","11","0","0","0","0","2","0","46","0","1","21","2","0"
"2016","06","070102","CALLAO","CALLAO","BELLAVISTA","GOBIERNO REGIONAL","II-E","00017883","HOSPITAL DE REHABILITACION DEL CALLAO","9","5","0","11","0","0","0","0","2","0","45","0","1","21","2","0"
"2016","12","070102","CALLAO","CALLAO","BELLAVISTA","GOBIERNO REGIONAL","II-E","00017883","HOSPITAL DE REHABILITACION DEL CALLAO","9","6","0","6","0","0","0","0","2","0","45","0","1","30","4","0"
"2016","11","070102","CALLAO","CALLAO","BELLAVISTA","GOBIERNO REGIONAL","II-E","00017883","HOSPITAL DE REHABILITACION DEL CALLAO","9","5","0","5","0","0","0","0","2","0","42","0","1","29","3","0"
"2016","10","070102","CALLAO","CALLAO","BELLAVISTA","GOBIERNO REGIONAL","II-E","00017883","HOSPITAL DE REHABILITACION DEL CALLAO","9","5","0","5","0","0","0","0","2","0","42","0","1","29","3","0"
"2016","09","070102","CALLAO","CALLAO","BELLAVISTA","GOBIERNO REGIONAL","II-E","00017883","HOSPITAL DE REHABILITACION DEL CALLAO","9","7","0","7","0","0","0","0","2","0","46","0","1","30","5","0"
"2016","08","070102","CALLAO","CALLAO","BELLAVISTA","GOBIERNO REGIONAL","II-E","00017883","HOSPITAL DE REHABILITACION DEL CALLAO","9","7","0","8","0","0","0","0","2","0","47","0","1","21","2","0"
"2016","12","110101","ICA","ICA","ICA","PRIVADO","II-1","00015963","LA CLINICA DE ICA DR. JULIO TATAJE BARRIGA SRL","6","6","4","15","0","0","5","1","1","1","2","3","2","2","0","0"
"2016","11","110101","ICA","ICA","ICA","PRIVADO","II-1","00015963","LA CLINICA DE ICA DR. JULIO TATAJE BARRIGA SRL","6","6","4","15","0","0","5","1","1","1","2","3","2","2","0","0"
"2016","10","110101","ICA","ICA","ICA","PRIVADO","II-1","00015963","LA CLINICA DE ICA DR. JULIO TATAJE BARRIGA SRL","6","6","4","15","0","0","5","1","1","1","2","3","2","2","0","0"
"2016","09","110101","ICA","ICA","ICA","PRIVADO","II-1","00015963","LA CLINICA DE ICA DR. JULIO TATAJE BARRIGA SRL","6","6","4","15","0","0","5","1","1","1","2","3","2","2","0","0"
"2016","08","110101","ICA","ICA","ICA","PRIVADO","II-1","00015963","LA CLINICA DE ICA DR. JULIO TATAJE BARRIGA SRL","6","6","4","15","0","0","5","1","1","1","2","3","2","2","0","0"
"2016","07","110101","ICA","ICA","ICA","PRIVADO","II-1","00015963","LA CLINICA DE ICA DR. JULIO TATAJE BARRIGA SRL","6","6","4","15","0","0","5","1","1","1","2","3","2","2","0","0"
"2016","01","110101","ICA","ICA","ICA","PRIVADO","II-1","00015963","LA CLINICA DE ICA DR. JULIO TATAJE BARRIGA SRL","10","10","5","15","0","0","5","1","1","1","2","3","2","2","0","0"
"2016","04","110101","ICA","ICA","ICA","PRIVADO","II-1","00015963","LA CLINICA DE ICA DR. JULIO TATAJE BARRIGA SRL","6","6","4","15","0","0","5","1","1","1","2","3","2","2","0","0"
"2016","03","110101","ICA","ICA","ICA","PRIVADO","II-1","00015963","LA CLINICA DE ICA DR. JULIO TATAJE BARRIGA SRL","6","6","4","15","0","0","5","1","1","1","2","3","2","2","0","0"
"2016","02","110101","ICA","ICA","ICA","PRIVADO","II-1","00015963","LA CLINICA DE ICA DR. JULIO TATAJE BARRIGA SRL","6","6","4","15","0","0","5","1","1","1","2","3","2","2","0","0"
"2016","06","110101","ICA","ICA","ICA","PRIVADO","II-1","00015963","LA CLINICA DE ICA DR. JULIO TATAJE BARRIGA SRL","6","6","4","15","0","0","5","1","1","1","2","3","2","2","0","0"
"2016","12","100601","HUANUCO","LEONCIO PRADO","RUPA-RUPA","SANIDAD DE LA POLICIA NACIONAL DEL PERU","0","00015771","POSTA MEDICA PNP TINGO MARIA","4","5","0","3","3","0","2","1","1","0","0","0","1","7","0","1"
"2016","11","100601","HUANUCO","LEONCIO PRADO","RUPA-RUPA","SANIDAD DE LA POLICIA NACIONAL DEL PERU","0","00015771","POSTA MEDICA PNP TINGO MARIA","4","5","0","3","3","0","2","1","1","0","0","0","1","7","0","1"
"2016","08","100601","HUANUCO","LEONCIO PRADO","RUPA-RUPA","SANIDAD DE LA POLICIA NACIONAL DEL PERU","0","00015771","POSTA MEDICA PNP TINGO MARIA","4","5","0","3","3","0","2","1","1","0","0","0","1","7","0","1"
"2016","09","100601","HUANUCO","LEONCIO PRADO","RUPA-RUPA","SANIDAD DE LA POLICIA NACIONAL DEL PERU","0","00015771","POSTA MEDICA PNP TINGO MARIA","4","5","0","3","3","0","2","1","1","0","0","0","1","6","0","1"
"2016","10","100601","HUANUCO","LEONCIO PRADO","RUPA-RUPA","SANIDAD DE LA POLICIA NACIONAL DEL PERU","0","00015771","POSTA MEDICA PNP TINGO MARIA","4","5","0","3","3","0","2","1","1","0","0","0","1","7","0","1"
"2016","12","150130","LIMA","LIMA","SAN BORJA","PRIVADO","II-E","00015934","CENTRO DE CIRUGIA ESTETICA LAS CONDES E.I.R.L.","4","8","6","1","0","0","2","0","0","0","0","0","0","4","2","0"
"2016","06","150130","LIMA","LIMA","SAN BORJA","PRIVADO","II-E","00015934","CENTRO DE CIRUGIA ESTETICA LAS CONDES E.I.R.L.","4","8","6","1","0","0","2","0","0","0","0","0","0","3","2","0"
"2016","05","150130","LIMA","LIMA","SAN BORJA","PRIVADO","II-E","00015934","CENTRO DE CIRUGIA ESTETICA LAS CONDES E.I.R.L.","4","8","6","1","0","0","2","0","0","0","0","0","0","3","2","0"
"2016","10","150130","LIMA","LIMA","SAN BORJA","PRIVADO","II-E","00015934","CENTRO DE CIRUGIA ESTETICA LAS CONDES E.I.R.L.","4","8","6","1","0","0","2","0","0","0","0","0","0","4","2","0"
"2016","11","150130","LIMA","LIMA","SAN BORJA","PRIVADO","II-E","00015934","CENTRO DE CIRUGIA ESTETICA LAS CONDES E.I.R.L.","4","8","6","1","0","0","2","0","0","0","0","0","0","3","2","0"
"2016","09","150130","LIMA","LIMA","SAN BORJA","PRIVADO","II-E","00015934","CENTRO DE CIRUGIA ESTETICA LAS CONDES E.I.R.L.","4","8","6","1","0","0","2","0","0","0","0","0","0","4","2","0"
"2016","08","150130","LIMA","LIMA","SAN BORJA","PRIVADO","II-E","00015934","CENTRO DE CIRUGIA ESTETICA LAS CONDES E.I.R.L.","4","8","6","1","0","0","2","0","0","0","0","0","0","4","2","0"
"2016","07","150130","LIMA","LIMA","SAN BORJA","PRIVADO","II-E","00015934","CENTRO DE CIRUGIA ESTETICA LAS CONDES E.I.R.L.","4","8","6","1","0","0","3","0","0","0","0","0","0","3","2","0"
"2016","10","150131","LIMA","LIMA","SAN ISIDRO","PRIVADO","II-E","00016397","CLINICA ESPECIALIZADA EN CIRUGIA PLASTICA - DR. LUIS VIZCARRA / CIRUESTHETIC","2","2","2","1","0","0","1","1","0","0","0","0","0","1","1","0"
"2016","11","150131","LIMA","LIMA","SAN ISIDRO","PRIVADO","II-E","00016397","CLINICA ESPECIALIZADA EN CIRUGIA PLASTICA - DR. LUIS VIZCARRA / CIRUESTHETIC","2","2","2","1","0","0","1","1","0","0","0","0","0","1","1","0"
"2016","09","150131","LIMA","LIMA","SAN ISIDRO","PRIVADO","II-E","00016397","CLINICA ESPECIALIZADA EN CIRUGIA PLASTICA - DR. LUIS VIZCARRA / CIRUESTHETIC","2","2","2","1","0","0","1","1","0","0","0","0","0","1","1","0"
"2016","08","150131","LIMA","LIMA","SAN ISIDRO","PRIVADO","II-E","00016397","CLINICA ESPECIALIZADA EN CIRUGIA PLASTICA - DR. LUIS VIZCARRA / CIRUESTHETIC","2","2","2","1","0","0","1","1","0","0","0","0","0","1","0","0"
"2016","12","150116","LIMA","LIMA","LINCE","PRIVADO","II-E","00015927","CLINICA DE OJOS D´OPELUCE","12","24","0","36","0","0","2","0","0","0","0","0","1","0","0","0"
"2016","11","150116","LIMA","LIMA","LINCE","PRIVADO","II-E","00015927","CLINICA DE OJOS D´OPELUCE","12","24","0","36","0","0","2","0","0","0","0","0","1","0","0","0"
"2016","10","150116","LIMA","LIMA","LINCE","PRIVADO","II-E","00015927","CLINICA DE OJOS D´OPELUCE","12","24","0","35","0","0","2","0","0","0","0","0","1","0","0","0"
"2016","09","150116","LIMA","LIMA","LINCE","PRIVADO","II-E","00015927","CLINICA DE OJOS D´OPELUCE","12","24","0","37","0","0","2","0","0","0","0","0","1","0","0","0"
"2016","08","150116","LIMA","LIMA","LINCE","PRIVADO","II-E","00015927","CLINICA DE OJOS D´OPELUCE","12","24","0","37","0","0","2","0","0","0","0","0","1","0","0","0"
"2016","07","150116","LIMA","LIMA","LINCE","PRIVADO","II-E","00015927","CLINICA DE OJOS D´OPELUCE","12","24","0","35","0","0","2","0","0","0","0","0","1","0","0","0"
"2016","03","150116","LIMA","LIMA","LINCE","PRIVADO","II-E","00015927","CLINICA DE OJOS D´OPELUCE","12","24","0","34","0","0","2","0","0","0","0","0","1","0","0","0"
"2016","02","150116","LIMA","LIMA","LINCE","PRIVADO","II-E","00015927","CLINICA DE OJOS D´OPELUCE","12","24","0","32","0","0","2","0","0","0","0","0","1","0","0","0"
"2016","05","150116","LIMA","LIMA","LINCE","PRIVADO","II-E","00015927","CLINICA DE OJOS D´OPELUCE","12","24","0","36","0","0","2","0","0","0","0","0","1","0","0","0"
"2016","06","150116","LIMA","LIMA","LINCE","PRIVADO","II-E","00015927","CLINICA DE OJOS D´OPELUCE","12","24","0","36","0","0","2","0","0","0","0","0","1","0","0","0"
"2016","01","150116","LIMA","LIMA","LINCE","PRIVADO","II-E","00015927","CLINICA DE OJOS D´OPELUCE","12","24","0","33","0","0","2","0","0","0","0","0","1","0","0","0"
"2016","11","160202","LORETO","ALTO AMAZONAS","BALSAPUERTO","GOBIERNO REGIONAL","I-3","00000187","C.S. I-3 BALSAPUERTO","10","10","10","2","1","0","3","1","1","0","0","3","0","22","0","1"
"2016","10","160202","LORETO","ALTO AMAZONAS","BALSAPUERTO","GOBIERNO REGIONAL","I-3","00000187","C.S. I-3 BALSAPUERTO","10","10","10","2","1","0","3","1","1","0","0","3","0","22","0","1"
"2016","09","160202","LORETO","ALTO AMAZONAS","BALSAPUERTO","GOBIERNO REGIONAL","I-3","00000187","C.S. I-3 BALSAPUERTO","10","10","10","2","1","0","3","1","1","0","0","3","0","22","0","1"
"2016","07","160202","LORETO","ALTO AMAZONAS","BALSAPUERTO","GOBIERNO REGIONAL","I-3","00000187","C.S. I-3 BALSAPUERTO","10","10","10","2","1","0","3","1","1","0","0","3","0","22","0","1"
"2016","08","160202","LORETO","ALTO AMAZONAS","BALSAPUERTO","GOBIERNO REGIONAL","I-3","00000187","C.S. I-3 BALSAPUERTO","10","10","10","2","1","0","3","1","1","0","0","3","0","22","0","1"
"2016","11","160206","LORETO","ALTO AMAZONAS","LAGUNAS","GOBIERNO REGIONAL","I-4","00000193","C.S. LAGUNAS","10","10","10","2","1","0","3","1","1","0","0","3","0","22","0","1"
"2016","10","160206","LORETO","ALTO AMAZONAS","LAGUNAS","GOBIERNO REGIONAL","I-4","00000193","C.S. LAGUNAS","10","10","10","2","1","0","3","1","1","0","0","3","0","22","0","1"
"2016","09","160206","LORETO","ALTO AMAZONAS","LAGUNAS","GOBIERNO REGIONAL","I-4","00000193","C.S. LAGUNAS","10","10","10","2","1","0","3","1","1","0","0","3","0","22","0","1"
"2016","08","160206","LORETO","ALTO AMAZONAS","LAGUNAS","GOBIERNO REGIONAL","I-4","00000193","C.S. LAGUNAS","10","10","10","2","1","0","3","1","1","0","0","3","0","22","0","1"
"2016","12","160201","LORETO","ALTO AMAZONAS","YURIMAGUAS","GOBIERNO REGIONAL","II-1","00000210","HOSPITAL SANTA GEMA DE  YURIMAGUAS","12","8","62","28","3","5","15","2","1","1","1","18","3","18","10","2"
