"ANHO","MES","UBIGEO","DEPARTAMENTO","PROVINCIA","DISTRITO","SECTOR","CATEGORIA","CO_IPRESS","RAZON_SOC","CA_CONSULTORIOS","CA_CONSULTORIOS_FN","CA_CAMAS","CA_MEDICOS_TOTAL","CA_MEDICOS_SERUM","CA_MEDICOS_RESIDENTES","CA_ENFERMERAS","CA_ODONTOLOGOS","CA_PSICOLOGOS","CA_NUTRICIONISTAS","CA_TECNOLOGOS_MEDICOS","CA_OBSTETRICES","CA_FARMACEUTICOS","CA_AUXILIARES","CA_OTROS_PROF","CA_AMBULANCIAS"
"2020","03","150116","LIMA","LIMA","LINCE","ESSALUD","I-3","00017695","CAP III ALFREDO PIAZZA ROBERTS","17","22","0","13","0","0","10","3","1","1","4","1","1","21","1","0"
"2020","04","230303","TACNA","JORGE BASADRE","ITE","ESSALUD","I-2","00010230","CENTRO DE ATENCION PRIMARIA I   ITE","4","4","0","1","1","0","1","1","0","0","0","1","0","0","0","0"
"2020","04","070106","CALLAO","CALLAO","VENTANILLA","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-2","00010573","POSTA MEDICA POLICIAL VENTANILLA","3","3","0","1","1","0","0","1","0","0","0","0","0","6","0","0"
"2020","04","040104","AREQUIPA","AREQUIPA","CERRO COLORADO","SANIDAD DE LA FUERZA AEREA DEL PERU","II-E","00011448","HOSPITAL REGIONAL DEL SUR","13","13","16","9","0","0","11","5","0","1","0","0","3","20","2","1"
"2020","04","040109","AREQUIPA","AREQUIPA","MARIANO MELGAR","PRIVADO","II-E","00019481","CLINICA J. PRADO SANTA MARIA E.I.R.L.","3","8","35","54","0","0","15","0","0","1","1","0","1","15","0","1"
"2020","04","120125","JUNIN","HUANCAYO","PILCOMAYO","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-2","00025776","POSTA MEDICA EESTP-PNP-HUANCAYO","2","2","0","0","0","0","1","0","0","0","0","0","0","3","0","0"
"2020","05","150131","LIMA","LIMA","SAN ISIDRO","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-3","00012740","POLICLINICO PNP MININTER","6","6","0","3","0","0","3","1","2","0","1","2","0","12","1","1"
"2020","05","040105","AREQUIPA","AREQUIPA","CHARACATO","GOBIERNO REGIONAL","I-3","00001261","CENTRO DE SALUD DE CHARACATO","11","22","0","2","0","0","3","1","1","0","0","3","1","0","1","1"
"2020","05","221005","SAN MARTIN","TOCACHE","UCHIZA","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-1","00025272","PUESTO SANITARIO PNP SANTA LUCIA","1","1","0","1","1","0","1","0","0","0","0","0","0","2","0","0"
"2020","05","110101","ICA","ICA","ICA","PRIVADO","I-4","00009606","VIRGEN DEL ROSARIO SA","5","0","16","28","0","0","4","0","1","0","0","0","0","6","0","0"
"2020","03","150101","LIMA","LIMA","LIMA","MINSA","III-1","00006206","NACIONAL  DOS DE MAYO","96","113","582","414","0","139","309","6","25","22","79","45","43","588","34","3"
"2020","01","021801","ANCASH","SANTA","CHIMBOTE","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-3","00017690","POLICLINICO PNP CHIMBOTE","6","6","6","4","1","0","7","2","1","0","1","0","7","19","0","1"
"2020","01","150120","LIMA","LIMA","MAGDALENA DEL MAR","PRIVADO","I-2","00024049","CONSULTORIO SORMEDIC","3","2","0","4","0","0","0","0","0","0","1","0","0","1","1","0"
"2020","01","250101","UCAYALI","CORONEL PORTILLO","CALLERIA","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-3","00010148","POLICLINICO POLICIAL PUCALLPA","5","9","0","2","1","0","2","0","1","0","0","0","1","6","0","1"
"2020","01","030601","APURIMAC","CHINCHEROS","CHINCHEROS","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-2","00011894","PNP SANIDAD CHINCHEROS","4","6","0","2","2","0","0","1","1","0","1","0","0","3","0","0"
"2020","01","051005","AYACUCHO","VICTOR FAJARDO","CANARIA","GOBIERNO REGIONAL","I-1","00003827","UMASI","3","2","0","0","0","0","1","0","0","0","0","1","0","2","0","1"
"2020","01","051005","AYACUCHO","VICTOR FAJARDO","CANARIA","GOBIERNO REGIONAL","I-3","00003824","CANARIA","5","5","4","2","0","0","2","1","1","0","0","3","0","2","0","1"
"2020","01","051009","AYACUCHO","VICTOR FAJARDO","HUANCARAYLLA","GOBIERNO REGIONAL","I-1","00003839","LLUSITA","2","2","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"2020","01","051005","AYACUCHO","VICTOR FAJARDO","CANARIA","GOBIERNO REGIONAL","I-1","00003825","RACCAYA","3","2","0","0","0","0","1","0","0","0","0","1","0","2","0","0"
"2020","01","051006","AYACUCHO","VICTOR FAJARDO","CAYARA","GOBIERNO REGIONAL","I-2","00003828","CAYARA","4","4","0","1","0","0","1","1","0","0","0","1","0","2","0","1"
"2020","01","051010","AYACUCHO","VICTOR FAJARDO","HUALLA","GOBIERNO REGIONAL","I-3","00003829","HUALLA","5","5","2","1","0","0","3","1","1","0","0","2","0","3","0","0"
"2020","01","051001","AYACUCHO","VICTOR FAJARDO","HUANCAPI","GOBIERNO REGIONAL","I-4","00003834","HUANCAPI","9","7","8","2","0","0","6","2","0","0","0","7","2","12","0","0"
"2020","01","051108","AYACUCHO","VILCAS HUAMAN","VISCHONGO","GOBIERNO REGIONAL","I-1","00003840","UMARO","2","2","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"2020","01","051003","AYACUCHO","VICTOR FAJARDO","APONGO","GOBIERNO REGIONAL","I-1","00003819","APONGO","3","2","0","0","0","0","1","0","0","0","0","1","0","2","0","0"
"2020","01","051010","AYACUCHO","VICTOR FAJARDO","HUALLA","GOBIERNO REGIONAL","I-1","00003830","TIQUIHUA","2","2","0","0","0","0","1","0","0","0","0","1","0","1","0","0"
"2020","01","051004","AYACUCHO","VICTOR FAJARDO","ASQUIPATA","GOBIERNO REGIONAL","I-1","00003822","CHIHUIRE","3","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"2020","01","051007","AYACUCHO","VICTOR FAJARDO","COLCA","GOBIERNO REGIONAL","I-1","00003836","QUILLA","2","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"2020","01","051005","AYACUCHO","VICTOR FAJARDO","CANARIA","GOBIERNO REGIONAL","I-2","00003826","TACA","4","4","0","1","0","0","2","1","0","0","0","2","0","3","0","1"
"2020","01","051008","AYACUCHO","VICTOR FAJARDO","HUAMANQUIQUIA","GOBIERNO REGIONAL","I-2","00003831","HUAMANQUIQUIA","4","4","0","1","0","0","1","1","0","0","0","1","0","1","0","1"
"2020","01","051009","AYACUCHO","VICTOR FAJARDO","HUANCARAYLLA","GOBIERNO REGIONAL","I-1","00003837","CIRCAMARCA","2","2","0","0","0","0","1","0","0","0","0","1","0","2","0","0"
"2020","01","051009","AYACUCHO","VICTOR FAJARDO","HUANCARAYLLA","GOBIERNO REGIONAL","I-2","00003838","HUANCARAYLLA","4","4","0","1","0","0","1","1","0","0","0","1","0","1","0","0"
"2020","01","051004","AYACUCHO","VICTOR FAJARDO","ASQUIPATA","GOBIERNO REGIONAL","I-1","00003823","MORCOLLA CHICO","3","2","0","0","0","0","1","0","0","0","0","0","0","1","0","1"
"2020","01","051007","AYACUCHO","VICTOR FAJARDO","COLCA","GOBIERNO REGIONAL","I-2","00003835","COLCA","3","3","0","1","0","0","1","0","0","0","0","1","0","1","0","1"
"2020","01","051004","AYACUCHO","VICTOR FAJARDO","ASQUIPATA","GOBIERNO REGIONAL","I-1","00003821","ASQUIPATA","2","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"2020","01","051008","AYACUCHO","VICTOR FAJARDO","HUAMANQUIQUIA","GOBIERNO REGIONAL","I-1","00003833","TINCA","3","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
