"ANHO";"MES";"UBIGEO";"DEPARTAMENTO";"PROVINCIA";"DISTRITO";"SECTOR";"CATEGORIA";"CO_IPRESS";"RAZON_SOC";"ID_HOSPITALIZACION";"HOSPITALIZACION";"NRO_TOTAL_HOSPIT_ING";"NRO_TOTAL_HOSPIT_EGR";"NRO_TOTAL_ESTANCIAS";"NRO_TOTAL_PACIENTES_CAMAS";"NRO_TOTAL_CAMAS";"DIAS_CAMA_DISPONIBLE";"NRO_TOTAL_FALLECIDOS"
"2026";"01";"080101";"CUSCO";"CUSCO";"CUSCO";"PRIVADO";"II-E";"00011163";"PERUANO SUIZA";"241800";"HOSPITALIZACION DE MEDICINA MEDICINA GENERAL ";"69";"67";"701";"704";"13";"715";"0"
"2026";"01";"150110";"LIMA";"LIMA";"COMAS";"PRIVADO";"II-E";"00034209";"CLINICA OFTALMOLOGICA ?AHUI SALUD";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2026";"01";"131008";"LA LIBERTAD";"SANTIAGO DE CHUCO";"SITABAMBA";"GOBIERNO REGIONAL";"I-2";"00017604";"CHAGAVARA";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2026";"01";"131008";"LA LIBERTAD";"SANTIAGO DE CHUCO";"SITABAMBA";"GOBIERNO REGIONAL";"I-3";"00005348";"SITABAMBA";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2026";"01";"131008";"LA LIBERTAD";"SANTIAGO DE CHUCO";"SITABAMBA";"GOBIERNO REGIONAL";"I-2";"00005347";"PIJOBAMBA";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2026";"01";"131008";"LA LIBERTAD";"SANTIAGO DE CHUCO";"SITABAMBA";"GOBIERNO REGIONAL";"I-1";"00013754";"USHNOVAL";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2026";"01";"120608";"JUNIN";"SATIPO";"RIO TAMBO";"GOBIERNO REGIONAL";"I-2";"00000470";"SAN MIGUEL DE OTICA";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2026";"01";"120608";"JUNIN";"SATIPO";"RIO TAMBO";"GOBIERNO REGIONAL";"I-3";"00000462";"POYENI";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2026";"01";"120608";"JUNIN";"SATIPO";"RIO TAMBO";"GOBIERNO REGIONAL";"I-3";"00000473";"SAN VICENTE DE CANAAN";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2026";"01";"150121";"LIMA";"LIMA";"PUEBLO LIBRE";"PRIVADO";"II-E";"00012492";"CLINICA DE OJOS VISUAL OPHTHALMICS";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2026";"01";"110101";"ICA";"ICA";"ICA";"GOBIERNO REGIONAL";"II-2";"00003358";"HOSPITAL REGIONAL DE ICA";"240100";"HOSPITALIZACION QUIRURGICA CIRUGIA GENERAL ";"136";"178";"1530";"1599";"58";"1798";"4"
"2026";"01";"110101";"ICA";"ICA";"ICA";"GOBIERNO REGIONAL";"II-2";"00003358";"HOSPITAL REGIONAL DE ICA";"241500";"HOSPITALIZACION QUIRURGICA GINECOLOGIA  ";"73";"76";"246";"310";"15";"465";"0"
"2026";"01";"110101";"ICA";"ICA";"ICA";"GOBIERNO REGIONAL";"II-2";"00003358";"HOSPITAL REGIONAL DE ICA";"241600";"HOSPITALIZACION QUIRURGICA OBSTETRICIA   ";"242";"254";"620";"654";"24";"744";"0"
"2026";"01";"110101";"ICA";"ICA";"ICA";"GOBIERNO REGIONAL";"II-2";"00003358";"HOSPITAL REGIONAL DE ICA";"241900";"HOSPITALIZACION DE MEDICINA MEDICINA INTERNA ";"88";"126";"1303";"1528";"56";"1736";"22"
"2026";"01";"110101";"ICA";"ICA";"ICA";"GOBIERNO REGIONAL";"II-2";"00003358";"HOSPITAL REGIONAL DE ICA";"242500";"HOSPITALIZACION-PEDIATRIA GENERAL-";"58";"66";"398";"401";"14";"434";"0"
"2026";"01";"110101";"ICA";"ICA";"ICA";"GOBIERNO REGIONAL";"II-2";"00003358";"HOSPITAL REGIONAL DE ICA";"243200";"HOSPITALIZACION DE PEDIATRIA PEDIATRIA NEONATOLOGIA";"40";"50";"321";"472";"27";"837";"0"
"2026";"01";"110101";"ICA";"ICA";"ICA";"GOBIERNO REGIONAL";"II-2";"00003358";"HOSPITAL REGIONAL DE ICA";"250103";"UNIDAD DE CUIDADOS CRITICOS UNIDAD  DE CUIDADOS INTENSIVOS GENERALES  (UCI) MEDICINA";"2";"3";"13";"71";"12";"372";"3"
"2026";"01";"110101";"ICA";"ICA";"ICA";"GOBIERNO REGIONAL";"II-2";"00003358";"HOSPITAL REGIONAL DE ICA";"250105";"UNIDAD DE CUIDADOS CRITICOS UNIDAD  DE CUIDADOS INTENSIVOS  (UCI) NEONATOLOGIA";"0";"2";"32";"80";"5";"155";"0"
"2026";"01";"220303";"SAN MARTIN";"EL DORADO";"SAN MARTIN";"GOBIERNO REGIONAL";"I-1";"00006494";"SINAMI";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2026";"01";"220303";"SAN MARTIN";"EL DORADO";"SAN MARTIN";"GOBIERNO REGIONAL";"I-4";"00006492";"SAN MARTIN DE ALAO";"241600";"HOSPITALIZACION QUIRURGICA OBSTETRICIA   ";"8";"8";"11";"11";"3";"96";"0"
"2026";"01";"220303";"SAN MARTIN";"EL DORADO";"SAN MARTIN";"GOBIERNO REGIONAL";"I-4";"00006492";"SAN MARTIN DE ALAO";"241800";"HOSPITALIZACION DE MEDICINA MEDICINA GENERAL ";"11";"11";"38";"38";"4";"124";"0"
"2026";"01";"070101";"CALLAO";"CALLAO";"CALLAO";"GOBIERNO REGIONAL";"I-2";"00006225";"PUESTO DE SALUD  SAN JUAN BOSCO";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2026";"01";"070102";"CALLAO";"CALLAO";"BELLAVISTA";"SANIDAD DE LA MARINA DE GUERRA DEL PERU";"III-1";"00008266";"CENTRO MEDICO NAVAL ""CIRUJANO MAYOR SANTIAGO TAVARA""";"241300";"HOSPITALIZACION QUIRURGICA UROLOGIA  ";"52";"43";"297";"386";"31";"575";"1"
"2026";"01";"070102";"CALLAO";"CALLAO";"BELLAVISTA";"SANIDAD DE LA MARINA DE GUERRA DEL PERU";"III-1";"00008266";"CENTRO MEDICO NAVAL ""CIRUJANO MAYOR SANTIAGO TAVARA""";"242200";"HOSPITALIZACION DE MEDICINA PSIQUIATRIA ";"11";"7";"84";"237";"21";"651";"0"
"2026";"01";"070102";"CALLAO";"CALLAO";"BELLAVISTA";"SANIDAD DE LA MARINA DE GUERRA DEL PERU";"III-1";"00008266";"CENTRO MEDICO NAVAL ""CIRUJANO MAYOR SANTIAGO TAVARA""";"245300";"HOSPITALIZACION DE MEDICINA NEUMOLOGIA  ";"22";"17";"290";"165";"12";"372";"0"
