ANHO,MES,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,SECTOR,CATEGORIA,CO_IPRESS,RAZON_SOC,ID_HOSPITALIZACION,HOSPITALIZACION,NRO_TOTAL_HOSPIT_ING,NRO_TOTAL_HOSPIT_EGR,NRO_TOTAL_ESTANCIAS,NRO_TOTAL_PACIENTES_CAMAS,NRO_TOTAL_CAMAS,NRO_TOTAL_CAMAS_DISPONIB,NRO_TOTAL_FALLECIDOS
2019,8,50113,AYACUCHO,HUAMANGA,TAMBILLO,GOBIERNO REGIONAL,I-1,3550,NIÑO  YUCAY,NE_0002,,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002
2019,8,50101,AYACUCHO,HUAMANGA,AYACUCHO,GOBIERNO REGIONAL,I-3,3606,SIMPAPATA,NE_0002,,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002
2019,8,50107,AYACUCHO,HUAMANGA,PACAYCASA,GOBIERNO REGIONAL,I-2,3609,PACAYCASA,NE_0002,,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002
2019,8,50111,AYACUCHO,HUAMANGA,SANTIAGO DE PISCHA,GOBIERNO REGIONAL,I-1,3613,ATACOCHA,NE_0002,,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002
2019,8,50107,AYACUCHO,HUAMANGA,PACAYCASA,GOBIERNO REGIONAL,I-1,3608,LA COMPAÑIA,NE_0002,,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002
2019,8,50113,AYACUCHO,HUAMANGA,TAMBILLO,GOBIERNO REGIONAL,I-2,3610,MUYURINA,NE_0002,,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002
2019,8,50111,AYACUCHO,HUAMANGA,SANTIAGO DE PISCHA,GOBIERNO REGIONAL,I-1,3611,SANTIAGO DE PISCHA,NE_0002,,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002
2019,4,100601,HUANUCO,LEONCIO PRADO,RUPA-RUPA,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-2,15771,POSTA MEDICA POLICIAL TINGO MARIA,NE_0001,,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001
2019,3,120303,JUNIN,CHANCHAMAYO,PICHANAQUI,ESSALUD,I-2,12189,CAP I PICHANAQUI,NE_0001,,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001
2019,4,210101,PUNO,PUNO,PUNO,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-3,10235,POLICLINICO DE SALUD PNP - PUNO,NE_0001,,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001
2019,4,120604,JUNIN,SATIPO,MAZAMARI,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-2,12454,POSTA MEDICA POLICIAL LOS SINCHIS-MAZAMARI,NE_0001,,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001
2019,4,70101,CALLAO,CALLAO,CALLAO,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-2,10451,POSTA MÉDICA POLICIAL VIPOL,NE_0001,,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001
2019,4,150605,LIMA,HUARAL,CHANCAY,GOBIERNO REGIONAL,I-2,5730,PAMPA LIBRE,NE_0001,,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001,NE_0001
