"ANHO","MES","UBIGEO","DEPARTAMENTO","PROVINCIA","DISTRITO","SECTOR","CATEGORIA","CO_IPRESS","RAZON_SOC","ID_HOSPITALIZACION","HOSPITALIZACION","NRO_TOTAL_HOSPIT_ING","NRO_TOTAL_HOSPIT_EGR","NRO_TOTAL_ESTANCIAS","NRO_TOTAL_PACIENTES_CAMAS","NRO_TOTAL_CAMAS","NRO_TOTAL_CAMAS_DISPONIB","NRO_TOTAL_FALLECIDOS"
"2020","01","130502","LA LIBERTAD","JULCAN","CALAMARCA","GOBIERNO REGIONAL","I-1","00016424","HUAGAL","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","01","130502","LA LIBERTAD","JULCAN","CALAMARCA","GOBIERNO REGIONAL","I-1","00007248","CHAZKA","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","01","130502","LA LIBERTAD","JULCAN","CALAMARCA","GOBIERNO REGIONAL","I-2","00007247","BARRO NEGRO","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","01","130502","LA LIBERTAD","JULCAN","CALAMARCA","GOBIERNO REGIONAL","I-3","00005309","SICCHAL","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","150810","LIMA","HUAURA","SANTA MARIA","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-2","00010834","POSTA MÉDICA POLICIA NACIONAL DEL PERÚ HUACHO","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","150113","LIMA","LIMA","JESUS MARIA","PRIVADO","II-E","00015716","CLÍNICA VISTA","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","150131","LIMA","LIMA","SAN ISIDRO","PRIVADO","II-E","00011358","CONFÍA INSTITUTO OFTALMOLÓGICO","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","051101","AYACUCHO","VILCAS HUAMAN","VILCAS HUAMAN","ESSALUD","I-2","00011435","VILCASHUAMAN","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","021801","ANCASH","SANTA","CHIMBOTE","SANIDAD DE LA POLICIA NACIONAL DEL PERU","I-3","00017690","POLICLINICO PNP CHIMBOTE","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
"2020","02","060806","CAJAMARCA","JAEN","LAS PIRIAS","GOBIERNO REGIONAL","I-3","00004245","LAS PIRIAS DE JAEN","NE_0001","","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001","NE_0001"
