"ANHO";"MES";"UBIGEO";"DEPARTAMENTO";"PROVINCIA";"DISTRITO";"SECTOR";"CATEGORIA";"CO_IPRESS";"RAZON_SOC";"ID_HOSPITALIZACION";"HOSPITALIZACION";"NRO_TOTAL_HOSPIT_ING";"NRO_TOTAL_HOSPIT_EGR";"NRO_TOTAL_ESTANCIAS";"NRO_TOTAL_PACIENTES_CAMAS";"NRO_TOTAL_CAMAS";"DIAS_CAMA_DISPONIBLE";"NRO_TOTAL_FALLECIDOS"
"2024";"05";"120303";"JUNIN";"CHANCHAMAYO";"PICHANAQUI";"GOBIERNO REGIONAL";"I-3";"00000351";"HUACHIRIKI";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2024";"05";"120303";"JUNIN";"CHANCHAMAYO";"PICHANAQUI";"GOBIERNO REGIONAL";"I-2";"00014383";"SAN JOSE DE ANAPIARI";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2024";"05";"120303";"JUNIN";"CHANCHAMAYO";"PICHANAQUI";"GOBIERNO REGIONAL";"I-2";"00007371";"28 DE JULIO";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2024";"05";"090204";"HUANCAVELICA";"ACOBAMBA";"CAJA";"GOBIERNO REGIONAL";"I-1";"00003927";"POMACANCHA";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2024";"05";"090205";"HUANCAVELICA";"ACOBAMBA";"MARCAS";"GOBIERNO REGIONAL";"I-1";"00011220";"PUESTO DE SALUD HUARPA";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2024";"05";"090205";"HUANCAVELICA";"ACOBAMBA";"MARCAS";"GOBIERNO REGIONAL";"I-2";"00003928";"MARCAS";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2024";"05";"090205";"HUANCAVELICA";"ACOBAMBA";"MARCAS";"GOBIERNO REGIONAL";"I-1";"00003929";"PUESTO DE SALUD CUÑI";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2024";"05";"120302";"JUNIN";"CHANCHAMAYO";"PERENE";"GOBIERNO REGIONAL";"I-2";"00000337";"MIRICHARO";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2024";"05";"120302";"JUNIN";"CHANCHAMAYO";"PERENE";"GOBIERNO REGIONAL";"I-3";"00006716";"CIUDAD SATELITE";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2024";"05";"120302";"JUNIN";"CHANCHAMAYO";"PERENE";"GOBIERNO REGIONAL";"I-1";"00000338";"SAN CRISTOBAL";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2024";"05";"120302";"JUNIN";"CHANCHAMAYO";"PERENE";"GOBIERNO REGIONAL";"I-1";"00000339";"SAN ANTONIO ALTO PICHANAKI";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2024";"05";"040411";"AREQUIPA";"CASTILLA";"TIPAN";"GOBIERNO REGIONAL";"I-1";"00001400";"PUESTO DE SALUD TIPAN";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2024";"05";"040412";"AREQUIPA";"CASTILLA";"UÑON";"GOBIERNO REGIONAL";"I-2";"00001403";"PUESTO DE SALUD UÑON";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2024";"05";"040414";"AREQUIPA";"CASTILLA";"VIRACO";"GOBIERNO REGIONAL";"I-1";"00006766";"PUESTO DE SALUD HUAMI";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2024";"04";"040122";"AREQUIPA";"AREQUIPA";"SOCABAYA";"GOBIERNO REGIONAL";"I-2";"00001272";"PUESTO DE SALUD SALAVERRY";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2024";"04";"040122";"AREQUIPA";"AREQUIPA";"SOCABAYA";"GOBIERNO REGIONAL";"I-3";"00030346";"CENTRO DE SALUD MENTAL COMUNITARIO SOCABAYA";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2024";"04";"040122";"AREQUIPA";"AREQUIPA";"SOCABAYA";"GOBIERNO REGIONAL";"I-2";"00001269";"PUESTO DE SALUD CIUDAD MI TRABAJO";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2024";"04";"040122";"AREQUIPA";"AREQUIPA";"SOCABAYA";"GOBIERNO REGIONAL";"I-3";"00001271";"CENTRO DE SALUD SAN FERNANDO";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2024";"04";"040122";"AREQUIPA";"AREQUIPA";"SOCABAYA";"GOBIERNO REGIONAL";"I-2";"00001270";"PUESTO DE SALUD LARA";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2024";"04";"040122";"AREQUIPA";"AREQUIPA";"SOCABAYA";"GOBIERNO REGIONAL";"I-2";"00023338";"PUESTO DE SALUD HORACIO ZEBALLOS GÁMEZ";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2024";"04";"040122";"AREQUIPA";"AREQUIPA";"SOCABAYA";"GOBIERNO REGIONAL";"I-3";"00001258";"CENTRO DE SALUD SAN MARTIN DE SOCABAYA";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2024";"04";"040122";"AREQUIPA";"AREQUIPA";"SOCABAYA";"GOBIERNO REGIONAL";"I-3";"00001268";"CENTRO DE SALUD 4 DE OCTUBRE";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2024";"04";"240104";"TUMBES";"TUMBES";"PAMPAS DE HOSPITAL";"GOBIERNO REGIONAL";"I-3";"00001875";"PAMPAS DE HOSPITAL";"NE_0001";"";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
