"ANHO","MES","UBIGEO","DEPARTAMENTO","PROVINCIA","DISTRITO","SECTOR","CATEGORIA","CO_IPRESS","RAZON_SOC","ID_HOSPITALIZACION","HOSPITALIZACION","NRO_TOTAL_HOSPIT_ING","NRO_TOTAL_HOSPIT_EGR","NRO_TOTAL_ESTANCIAS","NRO_TOTAL_PACIENTES_CAMAS","NRO_TOTAL_CAMAS","NRO_TOTAL_CAMAS_DISPONIB","NRO_TOTAL_FALLECIDOS"
"2015","08","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","241500","HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA  ","85","92","338","229","35","1085","0"
"2015","08","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","241600","HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA   ","232","248","737","793","41","1271","0"
"2015","08","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","243200","HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEONATOLOGÍA","14","15","45","103","10","310","0"
"2015","08","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","242500","HOSPITALIZACIÓN-PEDIATRÍA GENERAL-","51","74","883","474","50","1550","4"
"2015","08","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","240100","HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL ","50","70","862","716","41","1271","4"
"2015","08","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","241900","HOSPITALIZACIÓN DE MEDICINA MEDICINA INTERNA ","129","165","1414","1478","72","2232","21"
"2015","09","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","243200","HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEONATOLOGÍA","40","39","274","31","10","310","7"
"2015","09","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","241600","HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA   ","287","298","734","348","41","1271","0"
"2015","09","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","241500","HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA  ","86","95","349","262","35","1050","0"
"2015","09","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","242500","HOSPITALIZACIÓN-PEDIATRÍA GENERAL-","85","92","710","479","50","1550","3"
"2015","09","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","240100","HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL ","97","91","594","722","41","1271","0"
"2015","09","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","241900","HOSPITALIZACIÓN DE MEDICINA MEDICINA INTERNA ","166","185","1581","1608","72","2160","18"
"2015","12","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","241500","HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA  ","67","72","218","400","35","1085","1"
"2015","12","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","241600","HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA   ","282","291","773","158","41","1271","0"
"2015","12","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","243200","HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEONATOLOGÍA","22","24","260","19","10","310","4"
"2015","12","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","242300","HOSPITALIZACIÓN DE PEDIATRÍA  PEDIATRÍA  GENERAL ","98","97","758","155","50","1550","7"
"2015","12","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","240100","HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL ","72","70","677","598","41","1271","0"
"2015","12","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","241900","HOSPITALIZACIÓN DE MEDICINA MEDICINA INTERNA ","167","189","1612","773","72","2232","22"
"2015","11","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","243200","HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA NEONATOLOGÍA","19","18","201","15","10","300","3"
"2015","11","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","241600","HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA   ","283","285","780","193","41","1230","2"
"2015","11","160108","LORETO","MAYNAS","PUNCHANA","GOBIERNO REGIONAL","III-1","00000003","HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""","241500","HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA  ","74","77","287","354","35","1050","2"
