variable,anio_prueba,importancia_f1_macro_media,importancia_f1_macro_std,f1_macro_sin_permutar,n_test,n_muestra,repeticiones,random_state,metodo,es_causal,conjunto
anio,2018,0.0,0.0,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
mes,2018,0.007740904667583408,0.003934904658280291,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
departamento,2018,0.0,0.0,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
provincia,2018,0.0,0.0,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
distrito,2018,0.003384969653814888,0.0008564961356282415,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
sector,2018,0.00038244335619093867,0.0035273178313643865,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
categoria_ipress,2018,0.010405541713173908,0.0019013894662735819,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
servicio_hospitalizacion,2018,0.0043496347638790995,0.0017329156923861458,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
total_ingresos,2018,0.0027193572292146064,0.0017498165051852792,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
total_egresos,2018,-0.001016579153478155,0.0018072627503951757,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
total_estancias,2018,0.005817709611906012,0.003108780440536409,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
total_pacientes_camas,2018,-0.0021363860678756583,0.0015425097077563419,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
total_camas,2018,0.0025795007393243363,0.00219958565948707,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
total_camas_disponibles,2018,0.0038254036945919814,0.0007137805160594924,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
total_fallecidos,2018,-0.0007782883344228017,0.0007799867147100157,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
dias_mes,2018,0.008820981886775678,0.0035779650831144778,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
promedio_estancia,2018,0.0023678448120810027,0.0025337421286184803,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
tasa_fallecidos,2018,2.7971487101763337e-05,0.001159885032399414,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
ratio_camas_disponibles,2018,0.0016704759965298817,0.0005366416065409668,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
ocupacion_estimada,2018,0.014002343070862936,0.0005135515072736144,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
presion_ingresos_camas,2018,-0.002464351845294551,0.000740310129230274,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
rotacion_camas,2018,0.000791534920095612,0.001657900244747553,0.6995236103235855,4292,1000,3,42,permutacion_en_test_temporal,False,D
