variable,importancia,metodo
servicio_hospitalizacion,0.35421323450282216,feature_importances_agregadas
distrito,0.14079530397430062,feature_importances_agregadas
ocupacion_estimada,0.08080919086933136,feature_importances_agregadas
presion_ingresos_camas,0.06177417188882828,feature_importances_agregadas
categoria_ipress,0.0544672729447484,feature_importances_agregadas
promedio_movil_3m_presion,0.04920198395848274,feature_importances_agregadas
promedio_movil_3m_ocupacion,0.04687920957803726,feature_importances_agregadas
sector,0.04577212408185005,feature_importances_agregadas
rotacion_camas,0.020103124901652336,feature_importances_agregadas
ratio_camas_disponibles,0.009567796252667904,feature_importances_agregadas
anio,0.008122488856315613,feature_importances_agregadas
mes_sin,0.007960474118590355,feature_importances_agregadas
total_camas,0.007750432938337326,feature_importances_agregadas
tendencia_ocupacion_1m,0.007655721623450518,feature_importances_agregadas
total_pacientes_camas,0.007169284857809544,feature_importances_agregadas
total_ingresos,0.0071605900302529335,feature_importances_agregadas
promedio_movil_3m_ingresos,0.0070345038548111916,feature_importances_agregadas
total_camas_disponibles,0.006998603232204914,feature_importances_agregadas
dias_mes,0.006573871243745089,feature_importances_agregadas
total_egresos,0.0056579564698040485,feature_importances_agregadas
promedio_movil_3m_egresos,0.005520485807210207,feature_importances_agregadas
mes,0.005119173787534237,feature_importances_agregadas
diferencia_ingresos_egresos,0.0047424668446183205,feature_importances_agregadas
trimestre,0.004707498475909233,feature_importances_agregadas
promedio_estancia,0.004571139812469482,feature_importances_agregadas
total_estancias,0.004431941080838442,feature_importances_agregadas
tasa_fallecidos,0.004365971777588129,feature_importances_agregadas
tendencia_ingresos_1m,0.004361287225037813,feature_importances_agregadas
tendencia_presion_1m,0.004328237846493721,feature_importances_agregadas
promedio_movil_3m_estancias,0.00427004462108016,feature_importances_agregadas
total_fallecidos,0.004030877724289894,feature_importances_agregadas
es_fin_de_anio,0.003918671514838934,feature_importances_agregadas
tendencia_egresos_1m,0.003701955545693636,feature_importances_agregadas
mes_cos,0.003552746493369341,feature_importances_agregadas
semestre,0.0027102059684693813,feature_importances_agregadas
departamento,0.0,feature_importances_agregadas
provincia,0.0,feature_importances_agregadas
