variable,importancia
numericas__ocupacion_estimada,0.1781226
numericas__presion_ingresos_camas,0.14914536
categoricas__codigo_ipress_00017024,0.05092747
numericas__rotacion_camas,0.04508788
categoricas__distrito_SAN MARTIN DE PORRES,0.0375294
categoricas__sector_ESSALUD,0.03668594
categoricas__distrito_SAN BORJA,0.026940683
categoricas__ubigeo_150135,0.026367946
categoricas__categoria_ipress_III-E,0.024722341
categoricas__id_hospitalizacion_242600,0.022235565
categoricas__sector_SANIDAD DEL EJERCITO DEL PERU,0.021910273
categoricas__sector_MINSA,0.019917827
categoricas__categoria_ipress_III-2,0.018873757
numericas__total_pacientes_camas,0.018216668
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA MEDICINA TROPICAL E INFECCIOSAS,0.015401633
categoricas__id_hospitalizacion_241000,0.015001321
numericas__ratio_camas_disponibles,0.0146796815
categoricas__codigo_ipress_00006210,0.014072016
categoricas__ubigeo_150137,0.013856013
categoricas__ubigeo_150133,0.01284179
categoricas__id_hospitalizacion_242100,0.011954285
categoricas__codigo_ipress_00008489,0.011755068
categoricas__codigo_ipress_00018011,0.0106128715
numericas__total_camas,0.009235302
categoricas__id_hospitalizacion_240400,0.008904652
categoricas__ubigeo_150130,0.008830742
numericas__promedio_estancia,0.008323883
categoricas__codigo_ipress_00006214,0.007743389
categoricas__codigo_ipress_00009188,0.007441951
categoricas__distrito_JESUS MARIA,0.00710477
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA,0.0066627716
categoricas__id_hospitalizacion_241600,0.005921057
categoricas__ubigeo_150113,0.0054894434
categoricas__sector_SANIDAD DE LA POLICIA NACIONAL DEL PERU,0.0049493765
categoricas__codigo_ipress_00006206,0.004844381
categoricas__codigo_ipress_00006209,0.004065976
categoricas__ubigeo_150120,0.003876545
categoricas__ubigeo_150125,0.0036724177
numericas__total_camas_disponibles,0.0036076787
numericas__diferencia_ingresos_egresos,0.0033548211
categoricas__ubigeo_150118,0.0031901156
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PEDIÁTRICA,0.0028661895
categoricas__id_hospitalizacion_245300,0.0026934943
categoricas__codigo_ipress_00013914,0.0026890172
categoricas__distrito_SURQUILLO,0.0026535883
categoricas__codigo_ipress_7634,0.002583425
categoricas__id_hospitalizacion_243000,0.0025808292
categoricas__ubigeo_150115,0.0025254865
numericas__total_ingresos,0.0024244706
categoricas__categoria_ipress_III-1,0.0023875094
categoricas__codigo_ipress_00013591,0.002362139
categoricas__ubigeo_150142,0.0022570828
categoricas__id_hospitalizacion_241500,0.0022333462
categoricas__id_hospitalizacion_240700,0.0021690647
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA NEUMOLOGÍA,0.0020332464
categoricas__distrito_PUENTE PIEDRA,0.001980444
categoricas__codigo_ipress_00006000,0.0018791524
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) NEONATOLOGÍA,0.0018740414
categoricas__codigo_ipress_00006213,0.0018472362
numericas__dias_mes,0.0017653096
categoricas__ubigeo_150128,0.0017578576
categoricas__id_hospitalizacion_240200,0.001677573
categoricas__ubigeo_150108,0.0016510454
categoricas__id_hospitalizacion_250400,0.0016124524
categoricas__id_hospitalizacion_242300,0.0015985402
categoricas__categoria_ipress_II-1,0.0015466325
categoricas__id_hospitalizacion_240000,0.00141135
categoricas__id_hospitalizacion_243200,0.0013063983
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRÍA GENERAL,0.0011963516
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA GINECOLOGÍA PEDIÁTRICA,0.0011803831
categoricas__distrito_LA VICTORIA,0.001056668
categoricas__codigo_ipress_00008720,0.0010176946
categoricas__id_hospitalizacion_241200,0.0009992856
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN,0.0009980929
categoricas__distrito_RIMAC,0.0009848077
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) PEDIÁTRICA,0.000948618
numericas__total_fallecidos,0.00090601045
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA TRAUMATOLOGÍA Y ORTOPEDIA,0.00086908194
numericas__total_estancias,0.00084271375
categoricas__codigo_ipress_00014718,0.0008143923
categoricas__id_hospitalizacion_250000,0.00079515367
categoricas__codigo_ipress_00006208,0.00078181725
categoricas__categoria_ipress_II-E,0.0007565705
numericas__anio,0.0007532022
categoricas__codigo_ipress_00008318,0.00075133936
categoricas__id_hospitalizacion_250111,0.0007426467
categoricas__id_hospitalizacion_244700,0.00067901635
categoricas__codigo_ipress_00005987,0.0006745021
categoricas__codigo_ipress_00009251,0.00062811247
numericas__tasa_fallecidos,0.0006198673
categoricas__codigo_ipress_00006212,0.00059499807
categoricas__categoria_ipress_II-2,0.00058142486
categoricas__codigo_ipress_00005946,0.0005624857
categoricas__ubigeo_150105,0.0005459881
categoricas__codigo_ipress_6209,0.0005457441
categoricas__codigo_ipress_00006207,0.0005355802
numericas__mes,0.0005332915
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA NEUROLOGIA,0.00052524515
categoricas__distrito_BREÑA,0.0005173675
numericas__total_egresos,0.0005089963
categoricas__distrito_VILLA EL SALVADOR,0.00050418393
categoricas__id_hospitalizacion_240900,0.0005017571
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS,0.0004891289
categoricas__ubigeo_150101,0.0004799288
categoricas__codigo_ipress_00007632,0.0004745261
categoricas__distrito_MAGDALENA DEL MAR,0.00046967427
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA PSIQUIATRÍA,0.00046157453
categoricas__id_hospitalizacion_241400,0.00045453277
categoricas__codigo_ipress_9251,0.00044920592
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN-PEDIATRÍA GENERAL-,0.0004491904
categoricas__id_hospitalizacion_242200,0.0004433114
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA NEUROCIRUGÍA,0.00041985672
categoricas__id_hospitalizacion_241900,0.0004198473
categoricas__id_hospitalizacion_242500,0.00041276007
categoricas__distrito_LIMA,0.00039901418
categoricas__codigo_ipress_00008671,0.0003966435
categoricas__id_hospitalizacion_242000,0.00038959377
categoricas__id_hospitalizacion_240100,0.00037624047
categoricas__id_hospitalizacion_241800,0.0003699648
categoricas__ubigeo_150111,0.0003690474
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA GINECOLOGÍA,0.00035664445
categoricas__ubigeo_150110,0.0003524697
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA OFTALMOLÓGICA,0.00034470015
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN MEDICINA PSIQUIATRÍA PISIQUIATRIA/ SALUD MENTAL Y ADICCIONES,0.00034222717
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA GENERAL,0.00034079273
categoricas__id_hospitalizacion_240800,0.00033701942
categoricas__codigo_ipress_00006216,0.00032779019
categoricas__codigo_ipress_7632,0.00031395533
categoricas__codigo_ipress_6216,0.0003006155
categoricas__id_hospitalizacion_244900,0.00028863864
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA GINECO - OBSTETRICIA,0.00028319785
categoricas__codigo_ipress_00016918,0.0002745073
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE MEDICINA MEDICINA GENERAL,0.0002738682
categoricas__categoria_ipress_0,0.00027369143
categoricas__categoria_ipress_I-4,0.00027061702
categoricas__ubigeo_150121,0.00026459107
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PLÁSTICA/RECONSTRUCTIVA/ REPARADORA QUEMADOS,0.00024685095
categoricas__servicio_hospitalizacion_HOSPITALIZACION QUIRURGICA UROLOGIA,0.00024158326
