variable,importancia
numericas__ocupacion_estimada,0.24691334
numericas__presion_ingresos_camas,0.207234
categoricas__sector_ESSALUD,0.06519001
categoricas__sector_SANIDAD DEL EJERCITO DEL PERU,0.048301633
numericas__rotacion_camas,0.04399766
categoricas__distrito_SURQUILLO,0.032677513
categoricas__distrito_SAN MARTIN DE PORRES,0.03190947
numericas__total_pacientes_camas,0.02565986
categoricas__categoria_ipress_III-2,0.021476898
numericas__promedio_estancia,0.02114779
numericas__ratio_camas_disponibles,0.019925132
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN DE PEDIATRÍA PEDIATRIA CARDIOLOGÍA PEDIÁTRICA,0.018825391
categoricas__categoria_ipress_III-E,0.017810306
numericas__total_camas,0.015001515
categoricas__distrito_SAN BORJA,0.0144046685
categoricas__sector_MINSA,0.013521903
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTERMEDIOS GENERAL (UCIN),0.012262111
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA OBSTETRICIA,0.011402862
categoricas__distrito_JESUS MARIA,0.009063604
categoricas__distrito_LA VICTORIA,0.008461567
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTERMEDIOS (UCIN) PEDIÁTRICOS,0.007307267
numericas__total_camas_disponibles,0.0063701007
categoricas__distrito_VILLA EL SALVADOR,0.0061044265
categoricas__distrito_MAGDALENA DEL MAR,0.005207189
categoricas__distrito_SAN JUAN DE MIRAFLORES,0.0050903317
categoricas__servicio_hospitalizacion_UNIDAD DE CUIDADOS CRITICOS UNIDAD DE CUIDADOS INTENSIVOS (UCI) NEONATOLOGÍA,0.005000063
numericas__diferencia_ingresos_egresos,0.003948698
categoricas__sector_SANIDAD DE LA POLICIA NACIONAL DEL PERU,0.0037111936
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA DE TÓRAX Y CARDIOVASCULAR,0.0036029401
categoricas__categoria_ipress_II-1,0.0033151687
numericas__total_ingresos,0.003222717
categoricas__categoria_ipress_III-1,0.0026400841
categoricas__servicio_hospitalizacion_HOSPITALIZACIÓN QUIRÚRGICA CIRUGÍA PEDIÁTRICA,0.00263474
