modelo,tipo,anio_prueba,n_train,n_test,test_sha256,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,specificity_macro,roc_auc_ovr_macro,recall_alto,precision_alto,f1_alto,casos_alto_reales,falsos_negativos_alto,tasa_falsos_negativos_alto,errores_alto_bajo,proporcion_alto_bajo,proporcion_alto_bajo_total
Regresion_Logistica,modelo,2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.6961789375582479,0.6760914088827809,0.671828441703732,0.6760914088827809,0.6718662992819183,0.8497753666041968,0.8567397803141956,0.7472474868358066,0.8312034078807242,0.7869926896899421,2089,528,0.2527525131641934,117,0.056007659167065585,0.027260018639328983
Random_Forest,modelo,2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7103914259086673,0.6937514681689166,0.6868427151830317,0.6937514681689166,0.6869903595995063,0.859619702034854,0.8754919261163409,0.7529918621349928,0.8671444321940464,0.806046630796823,2089,516,0.2470081378650072,122,0.05840114887505984,0.02842497670083877
XGBoost,modelo,2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7204100652376515,0.7022096454833945,0.6961917405917889,0.7022096454833945,0.6966983969060062,0.8633429815566164,0.8800065170899475,0.7678314983245572,0.8614393125671321,0.8119463426980512,2089,485,0.23216850167544278,102,0.048827190043082815,0.023765144454799627
Clase_Mayoritaria,baseline,2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.48671947809878846,0.3333333333333333,0.1622398260329295,0.3333333333333333,0.21825210259624928,0.6666666666666666,,1.0,0.48671947809878846,0.6547563077887478,2089,0,0.0,0,0.0,0.0
Persistencia_Riesgo_Actual,baseline,2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7101584342963654,0.6758111451237472,0.6760143999805015,0.6758111451237472,0.6759117076526912,0.8514041510025248,,0.8051699377692676,0.8047846889952153,0.804977267288825,2089,407,0.1948300622307324,110,0.052656773575873624,0.025629077353215284
Regla_Ocupacion_Actual,baseline,2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7101584342963654,0.6758111451237472,0.6760143999805015,0.6758111451237472,0.6759117076526912,0.8514041510025248,,0.8051699377692676,0.8047846889952153,0.804977267288825,2089,407,0.1948300622307324,110,0.052656773575873624,0.025629077353215284
Regresion_Logistica,modelo,2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.714964964964965,0.6673710003618867,0.6671959453626591,0.6673710003618867,0.6663660868799804,0.8580165464779276,0.8588199784126727,0.7365421152628245,0.8054016620498615,0.7694343367515712,1579,416,0.2634578847371754,147,0.09309689677010766,0.03678678678678678
Random_Forest,modelo,2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7384884884884885,0.7020364413501087,0.7004462999408106,0.7020364413501087,0.6982440354675604,0.8716492935606003,0.8739399233225567,0.7352754908169727,0.8536764705882353,0.790064647839401,1579,418,0.26472450918302726,136,0.08613046231792273,0.03403403403403404
XGBoost,modelo,2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7237237237237237,0.6851478339333189,0.6854906571805045,0.6851478339333189,0.6820717734100978,0.8632623601819319,0.8714001300850948,0.7099430018999366,0.8422238918106687,0.770446735395189,1579,458,0.29005699810006336,170,0.10766307789740343,0.04254254254254254
Clase_Mayoritaria,baseline,2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.39514514514514515,0.3333333333333333,0.13171504838171505,0.3333333333333333,0.1888191330343797,0.6666666666666666,,1.0,0.39514514514514515,0.5664573991031391,1579,0,0.0,0,0.0,0.0
Persistencia_Riesgo_Actual,baseline,2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7464964964964965,0.6971804735527457,0.6970185067529041,0.6971804735527457,0.6970795986233412,0.8728452607351559,,0.7903736542115263,0.8010269576379975,0.7956646477526299,1579,331,0.20962634578847372,111,0.07029765674477517,0.027777777777777776
Regla_Ocupacion_Actual,baseline,2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7464964964964965,0.6971804735527457,0.6970185067529041,0.6971804735527457,0.6970795986233412,0.8728452607351559,,0.7903736542115263,0.8010269576379975,0.7956646477526299,1579,331,0.20962634578847372,111,0.07029765674477517,0.027777777777777776
Regresion_Logistica,modelo,2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7200363884466682,0.6745497015104687,0.6727219156112558,0.6745497015104687,0.6733125050149878,0.8608486760230573,0.8609410048700963,0.7709320695102686,0.8110803324099723,0.7904967602591794,1899,435,0.22906793048973143,141,0.07424960505529225,0.03206731862633614
Random_Forest,modelo,2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7300432112804185,0.7027854703086892,0.6971693969168095,0.7027854703086892,0.6967175226548008,0.8691845527858485,0.8706882213605666,0.7382833070036862,0.8410317936412718,0.786315199102636,1899,497,0.26171669299631384,128,0.06740389678778304,0.02911075733454628
XGBoost,modelo,2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7339094837389128,0.7069611005696795,0.7012558016422558,0.7069611005696795,0.7012873671885472,0.87058993174784,0.8769508590881115,0.7488151658767772,0.8281887012230634,0.7865044247787609,1899,477,0.25118483412322273,114,0.06003159557661927,0.02592676825108028
Clase_Mayoritaria,baseline,2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.43188537639299523,0.3333333333333333,0.1439617921309984,0.3333333333333333,0.2010800508259212,0.6666666666666666,,1.0,0.43188537639299523,0.6032401524777636,1899,0,0.0,0,0.0,0.0
Persistencia_Riesgo_Actual,baseline,2022,25444,4397,66846d1234a195fff06ba43a9bb6caedfad324ff56de02551b50910156a0af17,0.7302706390720947,0.6824646180665237,0.6823221520975421,0.6824646180665237,0.6823674945811606,0.8642283467385212,,0.7909426013691416,0.7963944856839873,0.793659180977543,1899,397,0.20905739863085834,126,0.06635071090047394,0.028655901751193997
