anio_prueba,n_train,n_test,test_sha256,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,specificity_macro,roc_auc_ovr_macro,recall_alto,precision_alto,f1_alto,casos_alto_reales,falsos_negativos_alto,tasa_falsos_negativos_alto,errores_alto_bajo,proporcion_alto_bajo,proporcion_alto_bajo_total,modelo,tipo,fase,n_features
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7292637465051258,0.7090684787933706,0.7040629288657971,0.7090684787933706,0.7046006060575793,0.8670681607723981,0.8845390513833639,0.7836285303973193,0.861578947368421,0.8207570819754324,2089,452,0.21637146960268072,91,0.043561512685495456,0.021202236719478098,D,modelo,desarrollo,69
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.727865796831314,0.7082466868434133,0.7043990965985109,0.7082466868434133,0.704029353083519,0.8663266688291852,0.8842467001808655,0.7817137386309239,0.8594736842105263,0.8187515668087239,2089,456,0.2182862613690761,86,0.0411680229775012,0.020037278657968314,D+FLUJO,modelo,desarrollo,74
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7280987884436161,0.7082439228670907,0.7037482527885497,0.7082439228670907,0.7038893081657723,0.8664443558777372,0.8845379049119826,0.7817137386309239,0.8599262769878884,0.8189568706118355,2089,456,0.2182862613690761,86,0.0411680229775012,0.020037278657968314,D+DEMANDA,modelo,desarrollo,78
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7273998136067101,0.7089983030355009,0.7036899828816031,0.7089983030355009,0.7041417706304633,0.8660287808757946,0.8839015531710048,0.7759693633317377,0.8581259925886713,0.8149824032176973,2089,468,0.22403063666826234,94,0.044997606510292006,0.02190121155638397,D+PERMANENCIA,modelo,desarrollo,82
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7315936626281454,0.7119444807038269,0.7068606128984539,0.7119444807038269,0.7074608653123245,0.868025769752335,0.8844149553389541,0.7841072283389181,0.860746190225959,0.8206412825651302,2089,451,0.21589277166108187,87,0.04164672091910005,0.02027027027027027,D+DINAMICA,modelo,desarrollo,86
2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.741991991991992,0.7047139817550528,0.7023388203130448,0.7047139817550528,0.7015495895327827,0.8723277197559968,0.879984434506257,0.7422419252691577,0.839541547277937,0.7878991596638656,1579,407,0.2577580747308423,137,0.08676377454084863,0.03428428428428428,D,modelo,desarrollo,69
2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7367367367367368,0.6995696310178539,0.6975802963552779,0.6995696310178539,0.696171561559117,0.8698777704247522,0.8793310411286535,0.7302089930335656,0.8385454545454546,0.7806364251861881,1579,426,0.26979100696643443,142,0.08993033565547814,0.03553553553553553,D+FLUJO,modelo,desarrollo,74
2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7362362362362362,0.7023257205430351,0.6991496797874159,0.7023257205430351,0.6977639545535554,0.8704654056865598,0.8797177879464065,0.7289423685877138,0.8401459854014599,0.7806035944387928,1579,428,0.2710576314122863,136,0.08613046231792273,0.03403403403403404,D+DEMANDA,modelo,desarrollo,78
2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7387387387387387,0.7042257090486062,0.7008001145912202,0.7042257090486062,0.7001208840248915,0.8712105384249597,0.8803847954302185,0.7371754274857505,0.8368080517613228,0.7838383838383838,1579,415,0.2628245725142495,137,0.08676377454084863,0.03428428428428428,D+PERMANENCIA,modelo,desarrollo,82
2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7362362362362362,0.7006923379520845,0.6979961000633933,0.7006923379520845,0.6968529063917807,0.8699201950839855,0.880047379092059,0.7333755541481951,0.8385228095582911,0.7824324324324323,1579,421,0.26662444585180495,144,0.09119696010132995,0.036036036036036036,D+DINAMICA,modelo,desarrollo,86
