anio_prueba,n_train,n_test,test_sha256,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,specificity_macro,roc_auc_ovr_macro,recall_alto,precision_alto,f1_alto,casos_alto_reales,falsos_negativos_alto,tasa_falsos_negativos_alto,errores_alto_bajo,proporcion_alto_bajo,proporcion_alto_bajo_total,regla,tipo,tipo_regla,umbral,umbral_proteccion,fase,probabilidades_sha256,predichos_bajo,proporcion_predicha_bajo,predichos_medio,proporcion_predicha_medio,predichos_alto,proporcion_predicha_alto,delta_proporcion_predicha_alto_vs_argmax,riesgo_expansion_alto
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7292637465051258,0.7090684787933706,0.7040629288657971,0.7090684787933706,0.7046006060575793,0.8670681607723981,0.8845390513833639,0.7836285303973193,0.861578947368421,0.8207570819754324,2089,452,0.21637146960268072,91,0.043561512685495456,0.021202236719478098,argmax,regla_decision,argmax,,,desarrollo,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413,1185,0.2760950605778192,1207,0.28122087604846224,1900,0.4426840633737186,0.0,False
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.727865796831314,0.7081870467440701,0.7072293929025332,0.7081870467440701,0.7046697527448039,0.8666705980559949,0.8845390513833639,0.7836285303973193,0.861578947368421,0.8207570819754324,2089,452,0.21637146960268072,70,0.03350885591191958,0.016309412861136997,proteccion_0.20,regla_decision,proteccion,0.2,,desarrollo,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413,1124,0.2618825722273998,1268,0.2954333643988816,1900,0.4426840633737186,0.0,False
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.72856477166822,0.701680542484069,0.6986232002547593,0.701680542484069,0.6995396021603052,0.8644336506481013,0.8845390513833639,0.8018190521780756,0.8438287153652393,0.8222876779577809,2089,414,0.19818094782192436,91,0.043561512685495456,0.021202236719478098,alto_0.40,regla_decision,alto,0.4,,desarrollo,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413,1185,0.2760950605778192,1122,0.2614165890027959,1985,0.4624883504193849,0.019804287045666336,False
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7304287045666356,0.6955155519101094,0.6960134593790257,0.6955155519101094,0.6957592708983095,0.8625938951213445,0.8845390513833639,0.8271900430828147,0.8260038240917782,0.8265965080124372,2089,361,0.17280995691718526,88,0.0421254188606989,0.02050326188257223,alto_0.35,regla_decision,alto,0.35,,desarrollo,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413,1178,0.2744641192917055,1022,0.2381174277726002,2092,0.4874184529356943,0.04473438956197573,False
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7271668219944082,0.7007991104347684,0.7015086431523079,0.7007991104347684,0.6997677901169683,0.864036087931698,0.8845390513833639,0.8018190521780756,0.8438287153652393,0.8222876779577809,2089,414,0.19818094782192436,70,0.03350885591191958,0.016309412861136997,combinada_0.40_0.20,regla_decision,combinada,0.4,0.2,desarrollo,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413,1124,0.2618825722273998,1183,0.2756290773532153,1985,0.4624883504193849,0.019804287045666336,False
2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7294967381174278,0.6951484958544585,0.6985255926094777,0.6951484958544585,0.6965101781897579,0.8623774180932733,0.8845390513833639,0.8271900430828147,0.8260038240917782,0.8265965080124372,2089,361,0.17280995691718526,70,0.03350885591191958,0.016309412861136997,combinada_0.35_0.20,regla_decision,combinada,0.35,0.2,desarrollo,6fd72a158b5f7a63271dd92408629db11d7f64a7da327c0669de84f466bb9413,1124,0.2618825722273998,1076,0.2506989748369059,2092,0.4874184529356943,0.04473438956197573,False
2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.741991991991992,0.7047139817550528,0.7023388203130448,0.7047139817550528,0.7015495895327827,0.8723277197559968,0.879984434506257,0.7422419252691577,0.839541547277937,0.7878991596638656,1579,407,0.2577580747308423,137,0.08676377454084863,0.03428428428428428,argmax,regla_decision,argmax,,,desarrollo,7790a926d7e11a868dc5a374b0ba034036111894f4d11b95c604db2170380c80,1733,0.4336836836836837,867,0.21696696696696696,1396,0.34934934934934936,0.0,False
2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7394894894894894,0.7078485548404357,0.7033665467273417,0.7078485548404357,0.7021603977275953,0.873605464596979,0.879984434506257,0.7422419252691577,0.839541547277937,0.7878991596638656,1579,407,0.2577580747308423,101,0.06396453451551615,0.025275275275275275,proteccion_0.20,regla_decision,proteccion,0.2,,desarrollo,7790a926d7e11a868dc5a374b0ba034036111894f4d11b95c604db2170380c80,1645,0.4116616616616617,955,0.238988988988989,1396,0.34934934934934936,0.0,False
2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7432432432432432,0.7029694176849662,0.7011657119553559,0.7029694176849662,0.7009761185328367,0.872031077220958,0.879984434506257,0.7530082330588981,0.8279944289693594,0.7887230514096186,1579,390,0.24699176694110198,137,0.08676377454084863,0.03428428428428428,alto_0.40,regla_decision,alto,0.4,,desarrollo,7790a926d7e11a868dc5a374b0ba034036111894f4d11b95c604db2170380c80,1733,0.4336836836836837,827,0.20695695695695696,1436,0.35935935935935936,0.010010010010010006,False
2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.745995995995996,0.6976024743541899,0.6983504176653671,0.6976024743541899,0.6978152810875903,0.8718939528465229,0.879984434506257,0.7815072830905636,0.8091803278688524,0.7951030927835052,1579,345,0.21849271690943636,133,0.08423052564914503,0.03328328328328328,alto_0.35,regla_decision,alto,0.35,,desarrollo,7790a926d7e11a868dc5a374b0ba034036111894f4d11b95c604db2170380c80,1725,0.4316816816816817,746,0.1866866866866867,1525,0.3816316316316316,0.03228228228228225,False
