configuracion,anio_prueba,n_train,n_test,test_sha256,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,specificity_macro,roc_auc_ovr_macro,recall_alto,precision_alto,f1_alto,casos_alto_reales,falsos_negativos_alto,tasa_falsos_negativos_alto,errores_alto_bajo,proporcion_alto_bajo,proporcion_alto_bajo_total
base__balanceado,2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7204100652376515,0.7022096454833945,0.6961917405917889,0.7022096454833945,0.6966983969060062,0.8633429815566164,0.8800065170899475,0.7678314983245572,0.8614393125671321,0.8119463426980512,2089,485,0.23216850167544278,102,0.048827190043082815,0.023765144454799627
base__alto_1.1,2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.723205964585275,0.6776527599223673,0.6831268449291926,0.6776527599223673,0.6786152444529628,0.854200606762002,0.8807412629124491,0.8472953566299665,0.7912382655341976,0.8183079056865464,2089,319,0.1527046433700335,94,0.044997606510292006,0.02190121155638397
base__alto_1.2,2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7215750232991612,0.674049103867116,0.6825130763015176,0.674049103867116,0.6759371391996664,0.8520136756602841,0.8814337885511335,0.852082336045955,0.781387181738367,0.815204946187314,2089,309,0.147917663954045,93,0.04451890856869316,0.021668219944082013
base__alto_1.3,2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7220410065237651,0.6693804975257515,0.6829971265897505,0.6693804975257515,0.6716892299277476,0.8502292234528249,0.8810108884465441,0.8678793681187171,0.7711612079965972,0.8166666666666668,2089,276,0.13212063188128292,96,0.04595500239348971,0.022367194780987885
base__alto_1.5,2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.71784715750233,0.6603676715345643,0.678166164362268,0.6603676715345643,0.6623777018291364,0.8459646146739505,0.879816766504038,0.8769746290090953,0.7570247933884298,0.8125970281658904,2089,257,0.12302537099090474,87,0.04164672091910005,0.02027027027027027
regularizado__balanceado,2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7262348555452004,0.7088683571165967,0.7036188000432407,0.7088683571165967,0.703414343013562,0.8664392315234052,0.878129524089038,0.7726184777405457,0.8663446054750402,0.8168016194331984,2089,475,0.2273815222594543,91,0.043561512685495456,0.021202236719478098
regularizado__alto_1.1,2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.722972972972973,0.6759703438090062,0.683296365637671,0.6759703438090062,0.6776149913867586,0.8534059085260673,0.8796928289830648,0.852082336045955,0.7869142351900973,0.8182027120202252,2089,309,0.147917663954045,87,0.04164672091910005,0.02027027027027027
regularizado__alto_1.2,2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7241379310344828,0.6733505495371861,0.684696432300209,0.6733505495371861,0.6753215209913485,0.8522296625699758,0.880176205139529,0.8640497845859263,0.7776820336062042,0.8185941043083901,2089,284,0.13595021541407373,90,0.0430828147438966,0.02096924510717614
regularizado__alto_1.3,2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7241379310344828,0.6703110373236428,0.6850617714843413,0.6703110373236428,0.6727708373465783,0.8510682714446357,0.8800867530533963,0.8736237434179033,0.7716701902748414,0.8194881005837449,2089,264,0.1263762565820967,87,0.04164672091910005,0.02027027027027027
regularizado__alto_1.5,2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.722739981360671,0.6624649410442448,0.6852761908188617,0.6624649410442448,0.6649260917382246,0.8474355628809042,0.8796615698110081,0.8908568693154619,0.7555826228177019,0.8176625659050967,2089,228,0.10914313068453806,83,0.03973192915270465,0.01933830382106244
profundo__balanceado,2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7241379310344828,0.7050257471711254,0.69958871730588,0.7050257471711254,0.7000878382693075,0.8647296671552134,0.8793727024177844,0.77501196744854,0.859798194370685,0.8152064451158106,2089,470,0.22498803255146002,99,0.047391096218286265,0.023066169617893754
profundo__alto_1.1,2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7197110904007455,0.6736008161483046,0.6787149116567583,0.6736008161483046,0.6742889382091649,0.8521404165782385,0.8799559735593357,0.8444231689803734,0.7867975022301517,0.8145924728700069,2089,325,0.1555768310196266,93,0.04451890856869316,0.021668219944082013
profundo__alto_1.2,2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7206430568499534,0.6714153498609793,0.6805342702481108,0.6714153498609793,0.673082826836028,0.8510119706186335,0.8807351311810976,0.855433221637147,0.7779712668698302,0.8148654810761514,2089,302,0.14456677836285303,91,0.043561512685495456,0.021202236719478098
profundo__alto_1.3,2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7194780987884436,0.6675369318017662,0.6787348918317484,0.6675369318017662,0.6689969038451475,0.8492969999542065,0.8801060323610651,0.861656294877932,0.7712082262210797,0.8139271987338911,2089,289,0.13834370512206798,91,0.043561512685495456,0.021202236719478098
profundo__alto_1.5,2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7187791239515378,0.6614169614933658,0.680919278158089,0.6614169614933658,0.6637250468194612,0.8459367938625473,0.8807822605025236,0.8774533269506941,0.754320987654321,0.8112414250940475,2089,256,0.12254667304930589,89,0.04260411680229775,0.020736253494874183
Persistencia,2018,9463,4292,9ed833ef2ca13459e0be1cc9a3797134fe3bd383cee7f256534e2624ea225cbb,0.7101584342963654,0.6758111451237472,0.6760143999805015,0.6758111451237472,0.6759117076526912,0.8514041510025248,,0.8051699377692676,0.8047846889952153,0.804977267288825,2089,407,0.1948300622307324,110,0.052656773575873624,0.025629077353215284
base__balanceado,2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.7237237237237237,0.6851478339333189,0.6854906571805045,0.6851478339333189,0.6820717734100978,0.8632623601819319,0.8714001300850948,0.7099430018999366,0.8422238918106687,0.770446735395189,1579,458,0.29005699810006336,170,0.10766307789740343,0.04254254254254254
base__alto_1.1,2021,21448,3996,59884a8ccf437f401ddb72f4e24a89939dd62a977db9fc8d5b22a6f4ebeed342,0.736986986986987,0.6568781691413458,0.6790455687402068,0.6568781691413458,0.6570837608751926,0.8602169514948423,0.87151691785062,0.8214059531348955,0.769276393831554,0.7944869831546707,1579,282,0.1785940468651045,175,0.11082963901203294,0.04379379379379379
