configuracion,accuracy_promedio,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_promedio,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,precision_macro_promedio,precision_macro_std,precision_macro_min,precision_macro_max,recall_macro_promedio,recall_macro_std,recall_macro_min,recall_macro_max,f1_macro_promedio,f1_macro_std,f1_macro_min,f1_macro_max,specificity_macro_promedio,specificity_macro_std,specificity_macro_min,specificity_macro_max,roc_auc_ovr_macro_promedio,roc_auc_ovr_macro_std,roc_auc_ovr_macro_min,roc_auc_ovr_macro_max,recall_alto_promedio,recall_alto_std,recall_alto_min,recall_alto_max,precision_alto_promedio,precision_alto_std,precision_alto_min,precision_alto_max,f1_alto_promedio,f1_alto_std,f1_alto_min,f1_alto_max,casos_alto_reales_promedio,casos_alto_reales_std,casos_alto_reales_min,casos_alto_reales_max,falsos_negativos_alto_promedio,falsos_negativos_alto_std,falsos_negativos_alto_min,falsos_negativos_alto_max,tasa_falsos_negativos_alto_promedio,tasa_falsos_negativos_alto_std,tasa_falsos_negativos_alto_min,tasa_falsos_negativos_alto_max,errores_alto_bajo_promedio,errores_alto_bajo_std,errores_alto_bajo_min,errores_alto_bajo_max,proporcion_alto_bajo_promedio,proporcion_alto_bajo_std,proporcion_alto_bajo_min,proporcion_alto_bajo_max,proporcion_alto_bajo_total_promedio,proporcion_alto_bajo_total_std,proporcion_alto_bajo_total_min,proporcion_alto_bajo_total_max,n_anios,delta_f1_macro_promedio,delta_balanced_accuracy_promedio,delta_recall_alto_promedio,delta_tasa_falsos_negativos_alto_promedio,admisible_principal,admisible_seguridad,ranking_principal,ranking_seguridad
Persistencia,0.7303060568506401,0.014127183218403372,0.7101584342963654,0.7464964964964965,0.6888825247739058,0.011483002579651395,0.6758111451237472,0.7040674565218316,0.6886675574321452,0.011214658696827,0.6760143999805015,0.7033797486259047,0.6888825247739058,0.011483002579651395,0.6758111451237472,0.7040674565218316,0.6887642997593354,0.011347184376542259,0.6759117076526912,0.7037183053683435,0.8635001410167856,0.008257852073406213,0.8514041510025248,0.8728452607351559,,,,,0.806992652875745,0.018028712171158368,0.7903736542115263,0.8334085778781039,0.8113428623014535,0.016642911652484684,0.7963944856839873,0.837948252383114,0.8091573748484409,0.017226897388300567,0.793659180977543,0.8356722498868266,1994.4,263.40615026988263,1579,2215,381.8,32.2055895769663,331,407,0.19300734712425513,0.018028712171158357,0.16659142212189615,0.20962634578847372,107.4,14.449913494550756,86,126,0.055123982159517734,0.013098515598930554,0.03882618510158013,0.07029765674477517,0.024673470450153532,0.004080381278141484,0.018671298306556665,0.028655901751193997,5,-0.010578697822590688,-0.015945601638316487,0.056565305841416946,-0.056565305841416835,False,False,,
base__alto_1.1,0.7392228784614934,0.011807152927604736,0.723205964585275,0.7539231294064135,0.678570193913574,0.015483416391288187,0.6568781691413458,0.6969217754311683,0.6916510246723596,0.012804647992144366,0.6790455687402068,0.707454339413942,0.678570193913574,0.015483416391288187,0.6568781691413458,0.6969217754311683,0.6786923967324688,0.016201839219596968,0.6570837608751926,0.6966481299861286,0.8622658725339768,0.006756477308557057,0.854200606762002,0.8706115196890091,0.8796917574777401,0.007917779411710384,0.87151691785062,0.8925212043827933,0.8525415707120552,0.021591346897097713,0.8214059531348955,0.873589164785553,0.7887968359455005,0.01664019065539616,0.769276393831554,0.8147368421052632,0.8193905319489481,0.017883199010177705,0.7944869831546707,0.8431372549019608,1994.4,263.40615026988263,1579,2215,289.8,16.783920876839243,279,319,0.14745842928794478,0.021591346897097744,0.12641083521444696,0.1785940468651045,124.2,33.93670579181191,93,175,0.06511894508058591,0.028070678977786295,0.04198645598194131,0.11082963901203294,0.02871689329931325,0.009422742459899314,0.02019105514546244,0.04379379379379379,5,-0.020650600849457246,-0.026257932498648273,0.10211422367772716,-0.10211422367772718,True,False,6,
base__alto_1.2,0.7396267586760866,0.01223036624303849,0.7215750232991612,0.7521037070730043,0.6760813204319304,0.013487071391755723,0.6604337135528352,0.6949210640797281,0.6933115694361472,0.01247197919701897,0.6825130763015176,0.7070476024973574,0.6760813204319304,0.013487071391755723,0.6604337135528352,0.6949210640797281,0.6762487157360522,0.014718291709413404,0.6603966207735886,0.6953339478876527,0.8612262339839223,0.006806754717419936,0.8520136756602841,0.8684622968202601,0.8800329713514564,0.007930779103479177,0.8718792027556889,0.892754430350721,0.8619952810591262,0.018964832080112206,0.8404053198226725,0.8839729119638826,0.7784583343548104,0.014947461704309464,0.7617680826636051,0.8014735980352026,0.8180704577244672,0.01590277319958652,0.7991568804576934,0.8407041648776299,1994.4,263.40615026988263,1579,2215,271.8,22.971721746530015,252,309,0.13800471894087388,0.01896483208011215,0.11602708803611739,0.15959468017732742,120.6,29.43297470525193,93,161,0.06300394744096924,0.02488931778809185,0.04198645598194131,0.1019632678910703,0.027842937536457002,0.008198161539225342,0.02019105514546244,0.04029029029029029,5,-0.02309428184587392,-0.02874680598029189,0.11156793402479814,-0.11156793402479809,True,False,7,
base__alto_1.3,0.7391331702196204,0.012048227987560733,0.7220410065237651,0.7523311348646805,0.6718107868163081,0.013197742388149887,0.6579890246987546,0.6890420703444385,0.6937773243936197,0.01248656318183637,0.6823316679313723,0.7091867810189737,0.6718107868163081,0.013197742388149887,0.6579890246987546,0.6890420703444385,0.6715068259312051,0.015137665070445382,0.6559028139133178,0.6887968110110325,0.8596168637991971,0.007299064608668349,0.8502292234528249,0.8678686625059173,0.8798341667877903,0.007701695425223768,0.8722816618618608,0.8923445943809547,0.8727614292066586,0.018083343707494794,0.8480050664977834,0.891196388261851,0.7700120801887229,0.013421674076717545,0.7577815506508206,0.7924528301886793,0.8181350500505159,0.01425445905111666,0.8003586371787209,0.8389290267743307,1994.4,263.40615026988263,1579,2215,250.2,15.385057685949699,240,276,0.1272385707933415,0.01808334370749482,0.10880361173814898,0.1519949335022166,119.8,27.03146314944864,96,160,0.06254246362802102,0.02401626839787056,0.04379232505643341,0.1013299556681444,0.027661313301621315,0.007761380115408408,0.02105948762483717,0.04004004004004004,5,-0.027836171650720942,-0.03301733959591413,0.12233408217233055,-0.12233408217233047,True,False,10,
base__alto_1.5,0.7361897589393265,0.012633413041678107,0.71784715750233,0.7498294291562428,0.6635433406432856,0.011946752257053004,0.6521781775795991,0.6804901239763695,0.6912789690830531,0.01320942536546603,0.678166164362268,0.7077447150414077,0.6635433406432856,0.011946752257053004,0.6521781775795991,0.6804901239763695,0.6619927270788493,0.014356687464832296,0.647110689275184,0.6803072825923856,0.8563883806003411,0.007779718956346922,0.8459646146739505,0.8648896730122585,0.8794965333863635,0.007746651697402349,0.8725078681355706,0.8925051829553721,0.8851128257407854,0.015805131820449306,0.863837872070931,0.9011286681715576,0.7542134098227906,0.013463857879887313,0.7372972972972973,0.7742435996896819,0.8144137949794464,0.013689906400509792,0.7955672207640713,0.8328812852075944,1994.4,263.40615026988263,1579,2215,226.2,17.35511451993331,215,257,0.11488717425921458,0.01580513182044937,0.09887133182844243,0.13616212792906904,111.4,24.925890154616347,87,145,0.05804835105790107,0.021615821993867235,0.03972911963882619,0.09183027232425586,0.025694932982115566,0.007002815270848162,0.01910551454624403,0.03628628628628629,5,-0.03735027050307682,-0.04128478576893668,0.13468547870645742,-0.1346854787064574,True,False,13,
base__balanceado,0.7277045865623004,0.006831765529858871,0.7204100652376515,0.7359965262700825,0.7048281264122223,0.01441754108166113,0.6851478339333189,0.725621121753042,0.7012727847228827,0.014084088511653466,0.6854906571805045,0.723971795941987,0.7048281264122223,0.01441754108166113,0.6851478339333189,0.725621121753042,0.6993429975819261,0.012842114414791994,0.6820717734100978,0.7180530076575797,0.8675549233861428,0.004725639370455908,0.8632623601819319,0.8740969768270008,0.8788460012207542,0.007808518124852704,0.8714001300850948,0.8915980105560507,0.750427347034328,0.023718734798366184,0.7099430018999366,0.7678314983245572,0.8563369203430369,0.022763339935317595,0.8281887012230634,0.888421052631579,0.7997599706767264,0.020643970403817005,0.770446735395189,0.8204131227217498,1994.4,263.40615026988263,1579,2215,493.0,28.835741710592433,458,527,0.24957265296567196,0.023718734798366146,0.23216850167544278,0.29005699810006336,109.4,37.69350076604719,69,170,0.057936447494437104,0.029712087657223333,0.031151241534988713,0.10766307789740343,0.02544733566065462,0.010419909340757743,0.014980460269214069,0.04254254254254254,5,0.0,0.0,0.0,0.0,True,True,3,2
profundo__alto_1.1,0.7399362719724115,0.01299316234383801,0.7197110904007455,0.7527859904480327,0.6790553936950319,0.01387938403510535,0.6627000973459519,0.6983865642433956,0.692169828842255,0.011993774275046613,0.6787149116567583,0.7061647208596823,0.6790553936950319,0.01387938403510535,0.6627000973459519,0.6983865642433956,0.6790880989227028,0.014036234719580157,0.6637781795512286,0.6977561545867731,0.8625938133556733,0.007308353708663419,0.8521404165782385,0.870412883890037,0.8799731338982404,0.008099101866063184,0.8722072782677568,0.8935737142181263,0.8530995268216722,0.02277150425477931,0.8226725775807473,0.8762979683972912,0.7887245201956872,0.015774644795579374,0.7695497630331753,0.8134953897736797,0.8196121284608291,0.018171546308804954,0.795224977043159,0.8437296239947838,1994.4,263.40615026988263,1579,2215,288.6,21.570813614697066,273,325,0.1469004731783278,0.022771504254779314,0.1237020316027088,0.1773274224192527,121.8,32.08114711166046,93,171,0.06383324164970244,0.027090051020037868,0.04288939051918736,0.10829639012032932,0.02815932792194571,0.009009300799425041,0.020625271385149805,0.04279279279279279,5,-0.020254898659223253,-0.025772732717190383,0.10267217978734422,-0.10267217978734416,True,False,5,
profundo__alto_1.2,0.7395718430480597,0.01266460596464216,0.7206430568499534,0.7539231294064135,0.6748892250369225,0.015047408590212015,0.6544666939949565,0.6924960925267006,0.6921337375712198,0.013358139348357643,0.6805342702481108,0.7085914442555316,0.6748892250369225,0.015047408590212015,0.6544666939949565,0.6924960925267006,0.6746656421582883,0.016534187476217387,0.65271885376787,0.6922106250622503,0.8610621501732453,0.007252732352931852,0.8510119706186335,0.8697815540709436,0.8800803412610685,0.008104639569780095,0.8720932743773147,0.8934694028621454,0.8643657317817228,0.019792165628301207,0.8397720075997467,0.8866817155756208,0.7779419297437535,0.015308006252077221,0.7590154550658271,0.8013055895552835,0.8188584453110359,0.016757017484432278,0.7973541791942272,0.8418345477925417,1994.4,263.40615026988263,1579,2215,266.8,21.170734517252818,251,302,0.1356342682182772,0.019792165628301175,0.11331828442437923,0.16022799240025332,117.4,29.245512476275742,91,161,0.061423005096191585,0.025020414551052608,0.04153498871331828,0.1019632678910703,0.02712480694452004,0.008244915050792813,0.01997394702561876,0.04029029029029029,5,-0.024677355423637803,-0.029938901375299753,0.11393838474739482,-0.11393838474739476,True,False,8,
profundo__alto_1.3,0.7371782507572247,0.011414008606227313,0.7194780987884436,0.750056856947919,0.669191136586126,0.010626337223601073,0.6547888647307482,0.6815864837558223,0.6901448248522406,0.010215125932670497,0.6787348918317484,0.704474720132668,0.669191136586126,0.010626337223601073,0.6547888647307482,0.6815864837558223,0.6683200135862866,0.01220594706967546,0.6526192592481505,0.680772116183609,0.8586808510998475,0.006571353458288436,0.8492969999542065,0.86664990746202,0.87986241160173,0.007968138350380665,0.8718348493795559,0.893071913507541,0.8707602936699376,0.018091961694856155,0.8480050664977834,0.890293453724605,0.7680877413830531,0.012703309731392725,0.7514029180695847,0.7859705061777601,0.8161854296655864,0.014438178979641508,0.79678667063374,0.8348856900931413,1994.4,263.40615026988263,1579,2215,254.4,20.144478151592807,240,289,0.12923970633006251,0.018091961694856128,0.10970654627539503,0.1519949335022166,117.0,29.351320242878344,89,158,0.06119341175618588,0.024714164001787865,0.04018058690744921,0.10006333122229259,0.027026334155804594,0.008180301938923712,0.01932262266608771,0.03953953953953954,5,-0.03102298399563952,-0.03563698982609631,0.12033294663560956,-0.12033294663560945,True,False,12,
profundo__alto_1.5,0.7363033849355896,0.01210806598338291,0.7187791239515378,0.7518762792813282,0.6633520035799373,0.012490983698376793,0.6466782646004048,0.6764585184334965,0.6920024764248243,0.012094497165168281,0.680919278158089,0.7101082721113077,0.6633520035799373,0.012490983698376793,0.6466782646004048,0.6764585184334965,0.6615341910581543,0.01507562018001995,0.6417868582291005,0.6764751607801308,0.8563185903491745,0.007633932101258207,0.8459367938625473,0.8663772161879891,0.8801487313159203,0.007914175929908283,0.8722494417519474,0.8932079181646625,0.885643985121504,0.01744110756632408,0.863204559848005,0.9042889390519188,0.7543838476718174,0.014465418714799701,0.7331898870360409,0.7739567233384853,0.8147454190686212,0.015292108732620685,0.7929028504944735,0.8340620445554862,1994.4,263.40615026988263,1579,2215,224.8,18.253766734567417,212,256,0.11435601487849609,0.017441107566324065,0.09571106094808127,0.13679544015199493,113.4,27.180875629751153,87,151,0.05922546721451982,0.023174357524178214,0.03927765237020316,0.09563014566181127,0.0261814649783736,0.00760937493779092,0.01888840642640035,0.03778778778778779,5,-0.03780880652377183,-0.04147612283228497,0.135216638087176,-0.13521663808717588,True,False,14,
